source,target,user_id,label
11,101,548624,4
12,101,911614,4
13,101,"471775, 521885, 971894",4
14,101,471775,4
15,101,911614,4
16,101,911614,4
20,101,911614,4
21,101,471775,4
22,101,471775,4
23,101,471775,4
24,101,911614,4
25,101,"471775, 971894",4
27,101,971894,4
28,101,471775,4
29,101,471775,4
31,101,471775,4
36,101,911614,4
39,101,911614,4
40,101,971894,4
41,101,471775,4
42,101,"471775, 911614",4
43,101,471775,4
49,101,"471775, 971894",4
52,101,471775,4
53,101,471775,4
54,101,471775,4
55,101,"471775, 971894",4
56,101,471775,4
57,101,"911614, 971894",4
59,101,971894,4
67,101,971894,4
70,101,971894,4
5,102,548624,4
7,102,548624,4
8,102,548624,4
9,102,548624,4
10,102,548624,4
11,102,548624,4
13,102,"471775, 521885, 971894",4
14,102,471775,4
21,102,471775,4
22,102,471775,4
23,102,471775,4
25,102,"471775, 971894",4
27,102,971894,4
28,102,471775,4
29,102,471775,4
31,102,471775,4
40,102,971894,4
41,102,471775,4
42,102,471775,4
43,102,471775,4
49,102,"471775, 971894",4
52,102,471775,4
53,102,471775,4
54,102,471775,4
55,102,"471775, 971894",4
56,102,471775,4
57,102,971894,4
59,102,971894,4
67,102,971894,4
70,102,971894,4
5,103,548624,4
7,103,548624,4
8,103,548624,4
9,103,548624,4
10,103,548624,4
11,103,548624,4
13,103,"428202, 471775, 521885, 971894",4
14,103,"428202, 471775",4
17,103,428202,4
19,103,428202,4
21,103,471775,4
22,103,471775,4
23,103,"428202, 471775",4
24,103,428202,4
25,103,"471775, 971894",4
27,103,971894,4
28,103,471775,4
29,103,471775,4
31,103,471775,4
36,103,"428202, 468837",4
40,103,971894,4
41,103,471775,4
42,103,471775,4
43,103,471775,4
49,103,"471775, 971894",4
52,103,"428202, 471775",4
53,103,471775,4
54,103,471775,4
55,103,"471775, 971894",4
56,103,471775,4
57,103,"468837, 971894",4
59,103,971894,4
64,103,428202,4
65,103,428202,4
67,103,971894,4
70,103,971894,4
12,73,"400722, 715341",4
13,73,428202,4
14,73,428202,4
16,73,"400722, 715341",4
17,73,"428202, 715341",4
19,73,"428202, 715341",4
23,73,428202,4
24,73,"400722, 428202, 715341",4
36,73,428202,4
52,73,"428202, 715341",4
55,73,715341,4
56,73,715341,4
57,73,"400722, 715341",4
59,73,715341,4
64,73,428202,4
65,73,428202,4
69,73,715341,4
70,73,715341,4
72,73,715341,4
12,75,400722,4
13,75,"428202, 471775, 521885, 971894",4
14,75,"428202, 471775",4
16,75,400722,4
17,75,428202,4
19,75,428202,4
21,75,471775,4
22,75,471775,4
23,75,"428202, 471775",4
24,75,"400722, 428202",4
25,75,"471775, 971894",4
27,75,971894,4
28,75,471775,4
29,75,471775,4
31,75,471775,4
36,75,"428202, 468837",4
40,75,971894,4
41,75,471775,4
42,75,471775,4
43,75,471775,4
49,75,"471775, 971894",4
52,75,"428202, 471775",4
53,75,471775,4
54,75,471775,4
55,75,"471775, 971894",4
56,75,471775,4
57,75,"400722, 468837, 971894",4
59,75,971894,4
64,75,428202,4
65,75,428202,4
67,75,971894,4
70,75,971894,4
12,77,"400722, 715341",4
13,77,428202,4
14,77,428202,4
16,77,"400722, 715341",4
17,77,"428202, 715341",4
19,77,"428202, 715341",4
23,77,428202,4
24,77,"400722, 428202, 715341",4
36,77,428202,4
52,77,"428202, 715341",4
55,77,715341,4
56,77,715341,4
57,77,"400722, 715341",4
59,77,715341,4
64,77,428202,4
65,77,428202,4
69,77,715341,4
70,77,715341,4
72,77,715341,4
12,79,400722,4
13,79,"428202, 471775, 971894",4
14,79,"428202, 471775",4
16,79,400722,4
17,79,428202,4
19,79,428202,4
20,79,516496,4
21,79,"471775, 516496",4
22,79,471775,4
23,79,"428202, 471775",4
24,79,"400722, 428202",4
25,79,"471775, 516496, 971894",4
27,79,971894,4
28,79,"471775, 516496",4
29,79,471775,4
31,79,471775,4
36,79,428202,4
39,79,516496,4
40,79,"516496, 971894",4
41,79,471775,4
42,79,471775,4
43,79,471775,4
49,79,"471775, 971894",4
52,79,"428202, 471775",4
53,79,471775,4
54,79,471775,4
55,79,"471775, 971894",4
56,79,471775,4
57,79,"400722, 971894",4
59,79,"516496, 971894",4
64,79,428202,4
65,79,428202,4
67,79,971894,4
70,79,971894,4
