,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
30,"[103019, 106150, 153490, 196934, 200047, 207287, 244024, 258366, 263706, 271779, 289839, 295879, 297097, 299623, 302580, 317456, 353265, 354419, 365900, 366986, 372970, 375108, 377242, 386149, 396894, 406575, 408175, 423518, 447368, 453193, 454720, 474673, 493366, 501191, 502013, 509386, 515778, 540625, 541799, 542380, 553790, 573259, 574109, 595837, 622410, 626162, 660059, 681522, 752203, 777955, 795345, 834629, 847065, 866133, 866670, 881500, 889850]",57, 1531 4915,2017-07-01,M,0.75,57,M,"['product-12520039', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
31,"[199285, 200047, 213874, 256229, 257400, 263361, 270220, 295879, 297364, 307192, 307536, 314647, 318300, 319544, 335918, 350143, 361022, 369654, 374383, 391197, 392030, 404535, 408175, 413192, 427096, 447294, 447368, 453193, 474879, 497674, 523626, 567787, 589776, 589811, 592296, 597096, 600263, 603395, 751640, 870598, 886524]",41, 1531 4916,2017-07-01,M,0.75,41,M,"['product-12520039', 'SERVIT.MARSU PA']"
32,"[100784, 102667, 104518, 110899, 123777, 124233, 138296, 158565, 163615, 192058, 237374, 246299, 271478, 298450, 302086, 314647, 330295, 372737, 385858, 413192, 447294, 453193, 468241, 476261, 481067, 508075, 535602, 542971, 551892, 557270, 579124, 589776, 602580, 619574, 660059, 739860, 740042, 755417, 846552, 866670, 874415]",41, 1531 4918,2017-07-01,M,0.75,41,M,"['product-12520039', 'SERVIT.BILL PAP ETE 2017']"
33,"[139038, 225819, 274400, 307536, 366986, 415605, 447368, 474879, 527677, 626070]",10, 1531 4125,2017-07-01,M,0.75,10,M,"['product-12520039', 'RECHARGE LAVAGE TW - A']"
34,"[106150, 199285, 298450, 318300, 354419, 445147, 541799, 607089, 624179, 755417, 795345, 866133]",12, 1531 4126,2017-07-01,M,0.75,12,M,"['product-12520039', 'RECHARGE LAVAGE']"
35,"[145875, 191561, 244827, 251568, 261384, 270517, 421137, 432305, 464331, 612824, 616689, 864160, 896048]",13, 163 4917,2017-07-01,M,0.75,13,M,"['product-451', 'SERVIT.GASTON P']"
36,"[110899, 244827, 270220, 271779, 296486, 314647, 347715, 407134, 421137, 427096, 432305, 464331, 485938, 573259, 579124, 602580, 603395, 616689, 681522, 739860, 751640, 864160]",22, 163 1531,2017-07-01,M,0.75,22,M,"['product-451', 'product-12520039']"
37,"[107493, 109551, 131348, 133022, 152806, 280880, 305678, 353337, 381808, 399352, 470752, 831241, 870293, 946107]",14, 2944 4126,2017-07-01,M,0.75,14,M,"['TW  LAVE GLACE DEMOUSTIQUEUR 4L', 'RECHARGE LAVAGE']"
38,"[171799, 200047, 220933, 272609, 510973, 529805, 568132, 588699, 606283, 625136, 626162, 827344, 881847]",13, 4112 4917,2017-07-01,M,0.75,13,M,"['LAVAGE CLU', 'SERVIT.GASTON P']"
39,"[107936, 131514, 200047, 309792, 354419, 355812, 424321, 492152, 568132, 571874, 572139, 599789, 626162, 765564, 868506]",15, 4112 4915,2017-07-01,M,0.75,15,M,"['LAVAGE CLU', 'SERVIT.MARSUPILAMI PAP ETE 2017']"
