,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE,DEPARTEMENT
85,"[ 108938  114666  118478  127790  133892  149963  162567  187833  235297
  244827  270220  275782  292347  314647  368080  370988  375021  403445
  423574  425954  427096  427250  432305  445481  451363  464331  483533
  607784  612824  739860  751640  903640  957469  999796 1042827 1061637
 1095891 1103098 1106966 1163691 1167207 1168767 1171591 1178295]",44, 451 12520268,2018-10-01,COCO_59,0.152,44,COCO,59
86,[ 734723  979705 1058591 1152434 1162193],5, 13600075 6026,2018-10-01,COCO_59,0.152,5,COCO,59
87,[ 460228  552846 1166148 1205586 1214239],5, 12520268 451,2018-10-01,COCO_62,0.152,5,COCO,62
88,[468837 505859 519887 520708 563837 715341 719763 963615],8, 6033 7445935,2018-10-01,COCO_78,0.152,8,COCO,78
89,[ 471775  995513 1015043 1047955 1048011 1113856 1153425],7, 13600075 6026,2018-10-01,COCO_78,0.152,7,COCO,78
90,[363692 520708 540247 563483 715341 719763],6, 5401047 7445935,2018-10-01,COCO_78,0.152,6,COCO,78
91,[ 496094  520708  715341  719763 1097861],5, 5401047 6033,2018-10-01,COCO_78,0.152,5,COCO,78
92,[226621 264552 468837 505859 963615],5, 5461017 7445935,2018-10-01,COCO_78,0.152,5,COCO,78
93,[1014685 1015043 1048011 1075356 1153425],5, 19419902 6026,2018-10-01,COCO_78,0.152,5,COCO,78
94,[ 505859  862846  963615  972937 1097861],5, 5450142 6033,2018-10-01,COCO_78,0.152,5,COCO,78
96,"[ 114666  118478  127790  133892  161394  187833  199984  235297  244827
  251568  270220  314647  368080  425954  427096  427250  451363  464331
  521982  523545  602580  604098  607784  612824  616689  739860  751640
  786504 1061637 1163691 1167207 1168767 1171591 1180756 1196697 1198352]",36, 451 12520268,2018-11-01,COCO_59,0.16,36,COCO,59
97,[ 616225  734723  998545 1155422 1173969],5, 6033 4190175,2018-11-01,COCO_59,0.16,5,COCO,59
98,[ 616225  734723  998545 1071032 1155422],5, 3450011 4190175,2018-11-01,COCO_59,0.16,5,COCO,59
99,[ 156634  460228  552846  731934  746930 1166148 1205586],7, 451 12520268,2018-11-01,COCO_62,0.16,7,COCO,62
100,"[ 108938  110899  114666  118478  127790  133892  187833  235297  251568
  270220  275782  292347  314647  368080  403445  421137  427096  438350
  464331  602580  607784  612824  616689  739860  751640  915181  943482
  957469 1061637 1095891 1168767 1171591 1180756 1198352]",34, 12520268 451,2018-12-01,COCO_59,0.168,34,COCO,59
101,[ 156634  460228  552846 1166148 1205586],5, 451 12520268,2018-12-01,COCO_62,0.168,5,COCO,62
102,[ 528700  555714  584447 1007975 1014685 1034094 1047955],7, 13600075 6026,2018-12-01,COCO_78,0.168,7,COCO,78
104,"[ 107030  108938  114666  118478  127790  133892  149963  187833  235297
  235462  244827  251568  270220  292347  368080  403445  421137  427096
  427250  438350  449529  464331  483533  523545  567220  602580  607784
  612824  616689  739860  751640  903640  957469  999796 1095891 1163691
 1167207 1168767 1171591 1180756 1196697 1198352 1221607 1234306 1236675]",45, 451 12520268,2019-01-01,COCO_59,0.176,45,COCO,59
105,[ 156634  460228  552846  603391  746930 1166148 1205586],7, 451 12520268,2019-01-01,COCO_62,0.176,7,COCO,62
106,[ 622027  989025 1014685 1036452 1047955 1082751],6, 13600075 6026,2019-01-01,COCO_78,0.176,6,COCO,78
107,[ 205109  552846  603391 1166148 1205586],5, 12520268 451,2019-01-01,CODO_62,0.176,5,CODO,62
108,"[ 108938  114666  118478  127790  133892  187833  235297  292347  403445
  421137  425954  427096  438350  464331  483533  602580  607784  612824
  616689  739860  751640  957469  999796 1095891 1167207 1168767 1171591
 1198352]",28, 451 12520268,2019-02-01,COCO_59,0.184,28,COCO,59
109,[ 156634  205109  329014  437007  460228  552846 1166148],7, 451 12520268,2019-02-01,COCO_62,0.184,7,COCO,62
110,"[ 108938  118478  127790  133892  187833  235297  244827  270220  368080
  403445  421137  425954  427250  464331  483533  607784  612824  616689
  739860  751640  838190  903640  957469  999796 1061637 1095891 1163691
 1167207 1168767 1171591 1180756 1198352 1218881 1237802]",34, 451 12520268,2019-03-01,COCO_59,0.192,34,COCO,59
111,[ 555714  761107 1007975 1014685 1082751],5, 13600075 6026,2019-03-01,COCO_78,0.192,5,COCO,78
112,[113487 241017 268854 548624 984430],5, 5401046 7445935,2019-03-01,COCO_78,0.192,5,COCO,78
113,[ 294115  545984  556301  715341 1179385],5, 5401047 7445935,2019-03-01,COCO_78,0.192,5,COCO,78
114,"[ 108938  114666  127790  133892  187833  199984  235297  244827  270220
  275782  292347  314647  370988  400880  403445  421137  425954  427096
  427250  464331  483533  554673  588437  602580  604098  607784  612824
  616689  739860  751640  838190  903640  915181  957469  999796 1061637
 1095891 1103098 1163691 1167207 1167617 1168767 1171591 1198352 1236675
 1237802 1239872]",47, 451 12520268,2019-04-01,COCO_59,0.2,47,COCO,59
115,[ 133070  156634  329014  460228  552846 1166148],6, 451 12520268,2019-04-01,COCO_62,0.2,6,COCO,62
116,[ 263990  516496  564592  715341  842314 1211526],6, 5401047 7445935,2019-04-01,COCO_78,0.2,6,COCO,78
117,"[ 108938  110899  114666  118478  127790  133892  187833  235297  270220
  314647  403445  421137  425954  427096  427250  464331  483533  602580
  612824  616689  681522  739860  751640  838190  957469 1061637 1095891
 1163691 1167207 1167617 1168767 1171591 1198352 1229524 1237802]",35, 451 12520268,2019-05-01,COCO_59,0.208,35,COCO,59
118,[ 156634  552846  619193 1166148 1205586],5, 451 12520268,2019-05-01,COCO_62,0.208,5,COCO,62
119,[342631 658850 719763 727418 963615],5, 7770415 7445935,2019-05-01,COCO_78,0.208,5,COCO,78
120,"[ 107030  114666  118478  127790  133892  187833  199984  235297  270220
  314647  403445  427096  464331  483533  523545  554673  602580  612824
  616689  739860  751640  838190  915181  957469 1042827 1061637 1095891
 1163691 1167207 1168767 1171591 1237802]",32, 451 12520268,2019-06-01,COCO_59,0.216,32,COCO,59
121,[ 133070  156634  373743  460228 1166148 1186493 1205586],7, 451 12520268,2019-06-01,COCO_62,0.216,7,COCO,62
122,[ 552972 1014685 1034094 1054006 1171502],5, 13600075 6026,2019-06-01,COCO_78,0.216,5,COCO,78
123,"[ 108938  110899  114666  127790  133113  133892  187833  235297  244827
  292347  314647  351686  357025  368080  403445  421137  427096  464331
  483533  554673  588437  602580  612824  616689  681522  739860  751640
  758478  786504  838190  957469  999796 1061637 1095891 1163691 1167207
 1167617 1168767 1171591 1189196 1198352 1237802]",42, 451 12520268,2019-07-01,COCO_59,0.224,42,COCO,59
124,[ 133070  156634  336730  460228  552846 1205586],6, 451 12520268,2019-07-01,COCO_62,0.224,6,COCO,62
125,[ 112633  416219  576327  916245 1179385],5, 5401047 7445935,2019-07-01,COCO_78,0.224,5,COCO,78
126,[ 112633  263913  281283  383508  469829  518911 1001366],7, 5401046 7445935,2019-07-01,COCO_78,0.224,7,COCO,78
127,"[ 107030  114666  127790  187833  235297  314647  403445  421137  425954
  427096  483533  523545  528367  588437  602580  612824  616689  751640
  838190  957469 1037526 1061637 1095891 1163691 1168767 1171591 1198352
 1236675 1237802]",29, 12520268 451,2019-08-01,COCO_59,0.232,29,COCO,59
128,"[ 107030  108938  114666  118478  127790  133892  149963  187833  235297
  270220  275782  292347  314647  403445  421137  425954  427096  427250
  464331  483533  612824  616689  681522  739860  751640  838190  957469
 1061637 1095891 1163691 1167207 1167617 1168767 1171591 1198352 1236675
 1237802]",37, 451 12520268,2019-09-01,COCO_59,0.24,37,COCO,59
129,[ 127790  372970  501817  602580 1045083 1124356],6, 3401042 3401043,2019-09-01,COCO_59,0.24,6,COCO,59
130,"[ 108938  110899  114666  118478  127790  133892  187833  235297  244827
  270220  314647  351686  403445  425954  427096  427250  464331  602580
  612824  616689  739860  751640  957469 1095891 1163691 1168767 1171591
 1198352 1236675]",29, 451 12520268,2019-10-01,COCO_59,0.248,29,COCO,59
131,[156096 421070 518902 540247 547386 576327 715341 916245],8, 5401047 7445935,2019-10-01,COCO_78,0.248,8,COCO,78
