,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE
116,"[ 108938  114666  118478  127790  133892  149963  162567  187833  206426
  235297  244827  270220  275782  292347  314647  368080  370988  375021
  403445  423574  425954  427096  427250  432305  445481  451363  460228
  464331  483533  552846  607784  612824  739860  751640  903640  957469
  999796 1042827 1045120 1061637 1095891 1103098 1106966 1163691 1166148
 1167207 1168767 1171591 1178295 1205586 1214239]",51, 451 12520268,2018-10-01,COCO,0.03505535055350553,51,COCO
117,"[ 471775  734723  979705  995513  995860 1015043 1047955 1048011 1058591
 1113856 1152434 1153425 1162193]",13, 13600075 6026,2018-10-01,COCO,0.03505535055350553,13,COCO
118,[1014685 1015043 1048011 1075356 1153425],5, 19419902 6026,2018-10-01,COCO,0.03505535055350553,5,COCO
119,[ 471775  734723  901480  963615 1075356],5, 6033 6026,2018-10-01,COCO,0.03505535055350553,5,COCO
120,[468837 505859 519887 520708 563837 715341 719763 963615],8, 6033 7445935,2018-10-01,COCO,0.03505535055350553,8,COCO
121,[ 123777  305678  600388  992218 1015043 1153425],6, 4190175 19419902,2018-10-01,COCO,0.03505535055350553,6,COCO
122,[363692 520708 540247 563483 715341 719763],6, 5401047 7445935,2018-10-01,COCO,0.03505535055350553,6,COCO
123,[ 496094  520708  715341  719763 1097861],5, 5401047 6033,2018-10-01,COCO,0.03505535055350553,5,COCO
124,[226621 264552 468837 505859 963615],5, 5461017 7445935,2018-10-01,COCO,0.03505535055350553,5,COCO
125,[264552 505859 540247 809946 963615],5, 7719715 7445935,2018-10-01,COCO,0.03505535055350553,5,COCO
126,[ 505859  862846  963615  972937 1097861],5, 5450142 6033,2018-10-01,COCO,0.03505535055350553,5,COCO
127,[254144 505859 540247 809946 819872 963615],6, 5450142 7719715,2018-10-01,COCO,0.03505535055350553,6,COCO
128,[113425 211249 278763 382431 585878 737348],6, 583279 1073439,2018-10-01,COCO,0.03505535055350553,6,COCO
129,"[ 114666  118478  127790  133892  156634  161394  187833  199984  235297
  244827  251568  270220  314647  368080  425954  427096  427250  451363
  460228  464331  521982  523545  552846  600467  602580  604098  607784
  612824  616689  731934  739860  746930  751640  786504 1061637 1163691
 1166148 1167207 1168767 1171591 1180756 1196697 1198352 1205586]",44, 451 12520268,2018-11-01,COCO,0.03690036900369004,44,COCO
130,[ 719763  734723  772088  963615  979705 1162193],6, 6033 6026,2018-11-01,COCO,0.03690036900369004,6,COCO
131,[ 616225  734723  998545 1155422 1173969],5, 4190175 6033,2018-11-01,COCO,0.03690036900369004,5,COCO
132,[ 584447  734723  979705 1007975 1047955 1048011 1162193],7, 13600075 6026,2018-11-01,COCO,0.03690036900369004,7,COCO
133,[ 294115  545984  963615 1162193 1179385],5, 7445935 6033,2018-11-01,COCO,0.03690036900369004,5,COCO
134,[ 294115  972937 1097861 1162193 1179385],5, 5401047 6033,2018-11-01,COCO,0.03690036900369004,5,COCO
135,[ 616225  734723  998545 1071032 1155422],5, 3450011 4190175,2018-11-01,COCO,0.03690036900369004,5,COCO
136,[ 205109  552846  603391 1166148 1205586],5, 12520268 451,2019-01-01,CODO,0.04059040590405904,5,CODO
137,"[ 108938  110899  114666  118478  127790  133892  156634  187833  235297
  251568  270220  275782  292347  314647  368080  403445  421137  427096
  438350  460228  464331  552846  602580  607784  612824  616689  739860
  751640  915181  943482  957469 1045120 1061637 1095891 1166148 1168767
 1171591 1180756 1198352 1205586]",40, 451 12520268,2018-12-01,COCO,0.03874538745387454,40,COCO
138,"[ 528700  555714  584447  734723  988692  995860 1007975 1014685 1034094
 1047955]",10, 13600075 6026,2018-12-01,COCO,0.03874538745387454,10,COCO
139,"[ 176216  184920  205866  213412  259705  307210  332610  387532  420269
  447204  466184  585878  912470 1221607]",14, 999007 12520039,2018-12-01,COCO,0.03874538745387454,14,COCO
142,[ 555714  584447  734723  934189 1173969],5, 6027 6026,2018-12-01,COCO,0.03874538745387454,5,COCO
143,"[ 107030  108938  114666  118478  127760  127790  133892  149963  156634
  187833  235297  235462  244827  251568  270220  292347  368080  403445
  421137  427096  427250  437004  438350  449529  460228  464331  483533
  523545  552846  567220  602580  603391  607784  612824  616689  739860
  746930  751640  903640  957469  999796 1095891 1163691 1166148 1167207
 1168767 1171591 1180756 1181387 1196697 1198352 1205586 1221607 1234306
 1236675]",55, 451 12520268,2019-01-01,COCO,0.04059040590405904,55,COCO
144,"[ 622027  979705  988692  989025  995860 1014685 1036452 1047955 1082751
 1179263]",10, 13600075 6026,2019-01-01,COCO,0.04059040590405904,10,COCO
145,[ 325873  326485  913464  916245 1179263],5, 5401047 7445935,2019-01-01,COCO,0.04059040590405904,5,COCO
146,[123777 216255 364658 376762 456892 622371 624828 636458],8, 4190175 19419902,2019-01-01,COCO,0.04059040590405904,8,COCO
147,[ 158639  556301  686138  913464 1066628],5, 7587895 7445935,2019-01-01,COCO,0.04059040590405904,5,COCO
149,"[ 108938  114666  118478  127790  133892  156634  187833  205109  235297
  292347  329014  403445  421137  425954  427096  437007  438350  460228
  464331  483533  552846  602580  607784  612824  616689  739860  751640
  957469  999796 1095891 1166148 1167207 1168767 1171591 1198352]",35, 451 12520268,2019-02-01,COCO,0.042435424354243544,35,COCO
150,[ 924254  988692  995860  998545 1014685 1082751 1180366],7, 13600075 6026,2019-02-01,COCO,0.042435424354243544,7,COCO
151,[ 327457  469793  535929  863993  971894 1155422],6, 5401046 5401047,2019-02-01,COCO,0.042435424354243544,6,COCO
152,[ 823956  849340  866455  903640  957469 1071032],6, 4190175 19419902,2019-02-01,COCO,0.042435424354243544,6,COCO
153,[ 171222  296455  322520  336921 1163180],5, 3461025 2850269,2019-02-01,COCO,0.042435424354243544,5,COCO
154,"[ 108938  118478  127760  127790  133892  187833  235297  244827  270220
  368080  403445  421137  425954  427250  464331  483533  607784  612824
  616689  671878  739860  751640  838190  903640  957469  999796 1045120
 1061637 1095891 1163691 1167207 1168767 1171591 1180756 1198352 1218881
 1237802]",37, 451 12520268,2019-03-01,COCO,0.04428044280442804,37,COCO
155,[ 555714  567971  761107  913363  998545 1007975 1014685 1082751],8, 13600075 6026,2019-03-01,COCO,0.04428044280442804,8,COCO
