,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
126,"[101235, 286384, 468745, 510208, 526900, 535413, 597149, 751456, 839184, 1046906, 1069295, 1153387, 1156090, 1174792]",14, 5806,2018-09-01,1,0.0,14,1,['MONSTERENERGYBTE50CL']
142,"[141642, 238828, 350143, 416219, 466946, 520244, 526900, 535413, 796587, 825189, 949779, 1034094, 1121384]",13, 3925,2018-09-01,1,0.0,13,1,['FLANPATISSIER120GDAUNAT']
146,"[407030, 424865, 619437, 752568, 1014685, 1058591]",6, 6995,2018-09-01,1,0.0,6,1,['PAGOFRAISE33C']
153,"[100715, 242913, 270220, 430160, 493984, 734723, 911614, 1007975, 1153425, 1183011]",10, 1871,2018-09-01,1,0.0,10,1,['CRCHAUSSONAUXPOMMES120G']
159,"[233328, 286429, 300649, 407242, 529543, 575287, 1025474, 1037937, 1066512, 1066878, 1157557, 1173867]",12, 2916,2018-09-01,1,0.0,12,1,['TW16LINGETTESVITRES']
174,"[303934, 309153, 449743, 526900, 616225, 622371, 626162, 949779, 963523, 971686, 1049835, 1086750, 1180587]",13, 600,2018-09-01,1,0.0,13,1,['CRSANDWHICHPARISIEN']
175,"[104790, 331511, 438350, 526900, 585878, 725052, 998545, 1049835, 1173969, 1216762]",10, 701,2018-09-01,1,0.0,10,1,[]
178,"[100715, 325831, 409260, 468192, 575459, 581812, 869831, 998545, 1014685]",9, 1848,2018-09-01,1,0.0,9,1,['CRCOOKIEDOUBLECHOCOLAT103GR']
179,"[174525, 191426, 199656, 314666, 333067, 409376, 719763, 904661, 981322, 1072004, 1209219, 1237545]",12, 2321,2018-09-01,1,0.0,12,1,['VOLVICNATURE1']
181,"[154737, 172406, 195105, 439351, 761107, 880018, 1058591]",7, 2684,2018-09-01,1,0.0,7,1,['LAITUHT1/2ECREMECO1L']
189,"[147896, 223641, 235596, 250397, 347996, 441177, 460955, 465110, 483545, 618438, 717686, 828730]",12, 5158,2018-09-01,1,0.0,12,1,['ADBLUE5L']
201,"[102647, 286753, 1015043, 1058591, 1162191, 1190233]",6, 2331,2018-09-01,1,0.0,6,1,['VOLVICFRUITSEXOTIQUES50CL']
217,"[107225, 267648, 319251, 336921, 575459, 925473]",6, 479,2018-09-01,1,0.0,6,1,[]
219,"[149358, 249535, 300218, 490858, 515602, 1058591, 1191002]",7, 4268,2018-09-01,1,0.0,7,1,['YRTVANILLEMNO']
222,"[135889, 294335, 468192, 499532, 740042, 950781]",6, 5475,2018-09-01,1,0.0,6,1,['KITKATCHUNKY']
235,"[109078, 348780, 657916, 996278, 1180968]",5, 6801,2018-09-01,1,0.0,5,1,['CHUPACHUPSUN']
236,"[749217, 757634, 926125, 1044363, 1166865]",5, 6979,2018-09-01,1,0.0,5,1,['REDBULLBLUEEDITION']
246,"[124464, 346406, 465645, 890028, 1066512]",5, 3497,2018-09-01,1,0.0,5,1,['EVOLUTIONFULL-']
248,"[125798, 351461, 600388, 1058591, 1218881]",5, 3876,2018-09-01,1,0.0,5,1,['SDWTHONCRUD160GDAUNAT']
252,"[118763, 445219, 596052, 750245, 907710]",5, 4064,2018-09-01,1,0.0,5,1,['TOTAL7000D10W405L']
253,"[191426, 254276, 307210, 439351, 1034708]",5, 4668,2018-09-01,1,0.0,5,1,"[""MINI'STICKSCHORIZO100G""]"
266,"[447084, 463491, 571013, 1034094, 1058591, 1174591]",6, 4269,2018-09-01,1,0.0,6,1,[]
274,"[133892, 214517, 449743, 584447, 958863, 1044821]",6, 5850,2018-09-01,1,0.0,6,1,['LOTUSGAUFRESL']
283,"[319251, 322520, 575459, 622371, 847660]",5, 676,2018-09-01,1,0.0,5,1,['CR.COCACOLAZ']
301,"[171664, 252901, 392706, 475454, 561354, 1163690, 1164112]",7, 2148,2018-09-01,1,0.0,7,1,['TWNETTOYANTVITRE500ML']
302,"[230856, 242000, 901480, 1037646, 1152434, 1172837]",6, 2218,2018-09-01,1,0.0,6,1,['LUBARQUETTEFRAISE120G']
308,"[183631, 539333, 863993, 866455, 988692, 1058591]",6, 3040,2018-09-01,1,0.0,6,1,['BRIEPASTEURISE60%MG188GENV']
313,"[197421, 200525, 209988, 286384, 358932, 402484, 459204, 571211, 1157557]",9, 6264,2018-09-01,1,0.0,9,1,['ARBREMAGIQUEVANILLE']
314,"[447013, 466946, 557636, 761442, 873802, 1028287, 1121094, 1158336, 1212353]",9, 2636,2018-09-01,1,0.0,9,1,['OASISTROPICALPET50CL']
318,"[145215, 214177, 302709, 392706, 578365, 594535, 950699, 956935, 983432]",9, 2910,2018-09-01,1,0.0,9,1,['TWNETPLASTIQU']
319,"[181421, 386756, 448590, 499532, 538955, 1108138, 1197342]",7, 2970,2018-09-01,1,0.0,7,1,['TOTALLINGETCU']
322,"[172406, 335716, 369654, 386199, 424865, 439351, 473768, 819320]",8, 3263,2018-09-01,1,0.0,8,1,['FUSILLICARBONARA300G']
323,"[415088, 441047, 468192, 520071, 958863, 1036452, 1158336]",7, 6298,2018-09-01,1,0.0,7,1,['LIONPEANUT2PACK62G']
324,"[103653, 138134, 244198, 369654, 449166, 545605, 1015043]",7, 3309,2018-09-01,1,0.0,7,1,['SDWMEGAJBCHE']
332,"[269187, 380828, 396933, 803252, 880018, 934189, 1042524, 1158336]",8, 5638,2018-09-01,1,0.0,8,1,['BOUNTYLAITX6']
341,"[196232, 310155, 422405, 475260, 877676, 1157557]",6, 2136,2018-09-01,1,0.0,6,1,['TWLAVEGLACEH4L']
346,"[156096, 230856, 305651, 471775, 527150, 528716, 594027]",7, 2464,2018-09-01,1,0.0,7,1,['HARISACHET120']
353,"[102156, 304589, 401512, 459432, 703679, 794248, 1185433]",7, 2980 2978,2018-09-01,1,0.0,7,1,['TWLAVEGLACEDEG.4L']
361,"[201253, 264552, 418129, 447204, 488754, 715341, 960142]",7, 1073,2018-09-01,1,0.0,7,1,[]
362,"[337743, 350143, 547295, 953681, 1047955, 1058591]",6, 3947,2018-09-01,1,0.0,6,1,['SDWMINIEMMENT']
363,"[112041, 240683, 545300, 562434, 758197, 875023, 896797, 979326]",8, 4068,2018-09-01,1,0.0,8,1,['TOTAL7000D10W402L']
365,"[114811, 183178, 191426, 535929, 615119, 721265, 932374]",7, 5589,2018-09-01,1,0.0,7,1,['LIMONADECITRON']
368,"[492396, 526900, 545944, 900951, 1036452, 1166148, 1169506, 1182305]",8, 5957,2018-09-01,1,0.0,8,1,['FUZETEAMANGUE']
375,"[619437, 626343, 1014685, 1025065, 1058591, 1153425]",6, 6991,2018-09-01,1,0.0,6,1,['PAGOMULTIPURJUS33CL']
377,"[134811, 262444, 436726, 523818, 893080]",5, 23,2018-09-01,1,0.0,5,1,[]
381,"[112044, 183398, 245144, 409260, 575459, 925473, 1044697]",7, 700,2018-09-01,1,0.0,7,1,[]
