,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
52,"[204029, 243973, 286729, 352928, 525249, 584447, 752568]",7, 1615,2017-03-01,50-65,0.0,7,50-65,['CR FLAN NATURE']
53,"[113350, 123949, 128265, 138794, 161721, 176750, 197394, 298548, 385319, 563868]",10, 4099,2017-03-01,50-65,0.0,10,50-65,['LAVAGE 1 PLEIN']
54,"[151531, 191307, 211149, 273658, 551178, 600515, 675734]",7, 4131,2017-03-01,50-65,0.0,7,50-65,['LAVAGE 2 PLEIN TARIF']
55,"[106150, 125798, 356654, 428202, 661827]",5, 3334,2017-03-01,50-65,0.0,5,50-65,['SALADE MANHATTA']
56,"[363692, 453036, 519887, 521885, 531393, 584447, 752568]",7, 264,2017-03-01,50-65,0.0,7,50-65,['REMISE BUS AUTOROUTE 15\x80']
57,"[103799, 107174, 114719, 118861, 165568, 186738, 206077, 208744, 261658, 273694, 283194, 298548, 348211, 372572, 387101, 462236, 496594, 723962, 728393]",19, 4127,2017-03-01,50-65,0.0,19,50-65,['REC LAVAGE PJE  20 U']
58,"[137464, 404833, 616225]",3, 4218,2017-03-01,35-49,0.0,3,35-49,['BATON BERGER NATURE 80G']
59,"[315695, 365536, 531393, 668617]",4, 1047,2017-03-01,50-65,0.0,4,50-65,['BD LE CIABATTA MIXTE']
60,"[263990, 365536, 423037, 752568]",4, 1119,2017-03-01,50-65,0.0,4,50-65,['BD SAN PELLEGRI']
61,"[183542, 356654, 715263]",3, 6855,2017-03-01,50-65,0.0,3,50-65,"[""CHIPS LAY'S SAL""]"
62,"[284255, 286321, 298742, 313654, 327141, 330852, 331009, 373549, 404827, 409846, 413231, 417862, 430029, 433003, 434047, 443162, 443552, 462438, 482562, 491709, 502970, 521837, 523195, 539446, 564738, 566886, 568774, 574988, 578365, 590694, 596504, 599341, 606879, 609205, 689996, 703456]",36, 4126,2017-03-01,<35,0.0,36,<35,['RECHARGE LAVAGE']
63,"[281256, 314302, 331498, 339428, 355838, 377685, 393049, 397669, 398225, 418229, 422118, 423495, 463550, 473266, 476702, 493366, 555013, 567520, 583156, 584471, 600263, 608531, 618413, 619622, 704816, 716317, 717009, 764636]",28, 4125,2017-03-01,<35,0.0,28,<35,['RECHARGE LAVAGE TW - A']
64,"[602649, 619463, 735292, 761107]",4, 263,2017-03-01,<35,0.0,4,<35,['REMISE BUS AUTOROUTE 9\x80']
65,"[314647, 403445, 485938, 562102, 580438, 612410, 612824, 739860, 879783]",9, 163,2017-03-01,<35,0.0,9,<35,[]
66,"[235939, 380551, 404654, 473266, 477263, 602649, 735292, 761107]",8, 1547,2017-03-01,<35,0.0,8,<35,['SAC BOUTIQUE KRAFT']
67,"[602649, 735292, 761107]",3, 1547 263,2017-03-01,<35,0.0,3,<35,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
68,"[167077, 313520, 382915, 430029, 496995, 498613, 515602, 587523, 590694, 611043, 718355, 733998]",12, 2946,2017-03-01,<35,0.0,12,<35,['TW  LAVE GLACE']
69,"[386618, 483791, 515602, 515864, 535895, 588236, 610511, 622143, 784863]",9, 4136,2017-03-01,<35,0.0,9,<35,['RECHARGE LAVAGE TW - D']
70,"[367928, 379152, 444023, 531565, 610511, 619463]",6, 6969,2017-03-01,<35,0.0,6,<35,['RED BULL BTE 25CL']
71,"[376322, 407537, 610511]",3, 3275,2017-03-01,<35,0.0,3,<35,['SDW CLA JBON BEURRE 125G']
72,"[316534, 407537, 488798, 521874]",4, 3509,2017-03-01,<35,0.0,4,<35,['CRISTALINE 50CL']
73,"[179934, 193388, 294969]",3, 6346,2017-03-01,50-65,0.0,3,50-65,['PRINCE GRANOLA LAIT 200 G']
74,"[380551, 550509, 563165]",3, 6972,2017-03-01,<35,0.0,3,<35,['RED BULL 473ML']
75,"[353471, 476509, 544077, 560139]",4, 1615,2017-03-01,<35,0.0,4,<35,['CR FLAN NATURE']
76,"[581812, 592625, 735292]",3, 2363,2017-03-01,<35,0.0,3,<35,"['EVIAN 1,5L']"
77,"[339292, 491709, 588938, 595924]",4, 4074,2017-03-01,<35,0.0,4,<35,['BIDON AD BLUE 10L']
78,"[281283, 353744, 624545]",3, 1393,2017-03-01,<35,0.0,3,<35,['BD CAFE CREME']
79,"[324156, 573956, 708709]",3, 1531,2017-03-01,<35,0.0,3,<35,[]
80,"[404654, 473266, 735292]",3, 2369 1547,2017-03-01,<35,0.0,3,<35,"['EVIAN 1L PET*', 'SAC BOUTIQUE KRAFT']"
81,"[421341, 472987, 610511]",3, 2797,2017-03-01,<35,0.0,3,<35,['COCA COLA 50CL PET']
82,"[334123, 353744, 474302]",3, 4127,2017-03-01,<35,0.0,3,<35,['REC LAVAGE PJE  20 U']
83,"[135030, 165109, 180493, 291261, 557428, 631511, 640984]",7, 4126,2017-03-01,>65,0.0,7,>65,['RECHARGE LAVAGE']
84,"[103556, 268921, 276275]",3, 64,2017-03-01,>65,0.0,3,>65,[]
85,"[163878, 171620, 205363, 205463, 601992]",5, 4125,2017-03-01,>65,0.0,5,>65,['RECHARGE LAVAGE TW - A']
86,"[124913, 349205, 522852]",3, 285,2017-03-01,>65,0.0,3,>65,[]
87,"[281283, 528601, 624545]",3, 431,2017-03-01,<35,0.0,3,<35,['CAFE EXPRESSO']
88,"[315695, 365536, 668617]",3, 1047 431,2017-03-01,50-65,0.0,3,50-65,"['BD LE CIABATTA MIXTE', 'CAFE EXPRESSO']"
89,"[310155, 448379, 568859]",3, 6259,2017-03-01,50-65,0.0,3,50-65,['ARBRE MAGIQUE VANILLE']
90,"[100715, 146481, 322977]",3, 5844,2017-03-01,50-65,0.0,3,50-65,['GAUFFRE LIEGE CHOCO X5 225G LOTUS']
91,"[263990, 365536, 752568]",3, 1119 431,2017-03-01,50-65,0.0,3,50-65,"['BD SAN PELLEGRI', 'CAFE EXPRESSO']"
92,"[263990, 278763, 365536, 531393]",4, 1388,2017-03-01,50-65,0.0,4,50-65,['BD FLAN NATURE']
93,"[140050, 258413, 466946]",3, 1698,2017-03-01,50-65,0.0,3,50-65,['ROCHER NOIR 35G']
94,"[153168, 304012, 355952, 375557]",4, 1743,2017-03-01,50-65,0.0,4,50-65,['LION UNITE 42G']
95,"[101105, 521161, 557871]",3, 1846,2017-03-01,50-65,0.0,3,50-65,[]
96,"[172560, 178794, 315247, 518902]",4, 2466,2017-03-01,50-65,0.0,4,50-65,['SCHTROUMPFS SAC']
97,"[131402, 276369, 513322, 768959]",4, 3510,2017-03-01,50-65,0.0,4,50-65,['CRISTALINE 1.5L']
98,"[326332, 385319, 457187]",3, 4130,2017-03-01,50-65,0.0,3,50-65,['ASPIRATEUR']
99,"[226481, 422794, 542068]",3, 5750,2017-03-01,50-65,0.0,3,50-65,['SMOOTHIE VERT 25CL INNOCENT']
