,user_ids,support,itemsets,period,property_values,depth,size,firstpromo,itemset_name
9053,[949334],1, 3834 4125 4131 3510 285 6261,2018-09-01,1,0.0,1,1,"['ARBRE MAGIQUE PECHE', 'CRISTALINE 1.5L', 'DEOCA SPRAY CERISE 75ML', 'LAVAGE 2 PLEIN TARIF', 'RECHARGE LAVAGE TW - A']"
9073,[348948],1, 4052 4112 4074 4136 6459 4064,2018-09-01,1,0.0,1,1,"['BIDON AD BLUE 10L', 'LAVAGE CLU', 'RECHARGE LAVAGE TW - D', 'TOTAL 5000 E 15W40 2L', 'TOTAL FLUIDE ATX 1L']"
9086,"[112041, 609205, 942083]",3, 6527 4126,2018-09-01,1,0.0,3,1,['RECHARGE LAVAGE']
9087,"[112041, 122194, 609205, 942083]",4, 6527,2018-09-01,1,0.0,4,1,[]
9092,[482699],1, 6457 2922 4126 2946 2975,2018-09-01,1,0.0,1,1,"['RECHARGE LAVAGE', 'TW  LAVE GLACE', 'TW LAVE GLACE DEG. 4L', 'TW LOT DE 4 MIC']"
9094,"[140784, 482699, 595321, 889564]",4, 6457 4126,2018-09-01,1,0.0,4,1,['RECHARGE LAVAGE']
9114,"[511129, 1058591, 1099079]",3, 6988,2018-09-01,1,0.0,3,1,['PAGO JUS ANANAS']
9128,"[306607, 461611, 780196, 911967]",4, 6706,2018-09-01,1,0.0,4,1,['RECH.AMBIPUR TABAC']
9131,"[441047, 1036452]",2, 6295 6293,2018-09-01,1,0.0,2,1,"['LION 2 PACK 60G', 'LION PEANUT 2 PACK 62G']"
9132,"[210834, 441047, 464842, 1036452]",4, 6295,2018-09-01,1,0.0,4,1,['LION 2 PACK 60G']
9140,"[378563, 1072489]",2, 5485 4663,2018-09-01,1,0.0,2,1,"['AUVE. MIN STICK NAT 100G', 'RITTER LAIT MAC']"
9141,"[277744, 378563, 1072489]",3, 5485,2018-09-01,1,0.0,3,1,['RITTER LAIT MAC']
9142,"[300218, 366008, 1028864, 1072489]",4, 5482,2018-09-01,1,0.0,4,1,['RITTER BLANC NU']
9152,"[230856, 584174, 586110, 1173969]",4, 4222,2018-09-01,1,0.0,4,1,['JUST UN DELICE AU JAMBON']
9163,"[308992, 572850, 949334, 1037482]",4, 6261,2018-09-01,1,0.0,4,1,['ARBRE MAGIQUE PECHE']
9181,"[291512, 464842, 1058591]",3, 5628,2018-09-01,1,0.0,3,1,['BALISTO LAIT MIEL AM 37G']
9187,[1163690],1, 1731 2146 4136 1533 3510 4638 4632 6459,2018-09-01,1,0.0,1,1,"['CRISTALINE 1.5L', 'FREEDENT MENTHE', 'NEOCLEAN JANTES', 'NET.JANTE 500ML NEOCLEAN', 'RECHARGE LAVAGE TW - D', 'TW NETTOYANT VITRE 500ML']"
9188,"[958863, 1049074, 1163690]",3, 1731,2018-09-01,1,0.0,3,1,['FREEDENT MENTHE']
9193,[267956],1, 1701 699 4125 682 1615,2018-09-01,1,0.0,1,1,"['CR COCA COLA ZERO PET 50CL', 'CR FLAN NATURE', 'CR SALADE CAESAR', 'RECHARGE LAVAGE TW - A']"
9194,"[245144, 267956]",2, 1701,2018-09-01,1,0.0,2,1,['CR SALADE CAESAR']
9217,"[299446, 355387, 875750]",3, 2181,2018-09-01,1,0.0,3,1,['TOTAL EASY PAC']
9222,"[241558, 605763, 970595]",3, 2020,2018-09-01,1,0.0,3,1,['BE KIND BARRE B']
9255,"[489057, 1165536, 1166148]",3, 295,2018-09-01,1,0.0,3,1,[]
9288,"[1014685, 1058591]",2, 3915 6986 263 1547 6990,2018-09-01,1,0.0,2,1,"['PAGO FRAISE 33C', 'PAGO MULTI PUR JUS 33CL', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT', 'SALADE THON CRUDITE DAUNAT 250G']"
9297,"[714981, 1152207, 1166865]",3, 1837,2018-09-01,1,0.0,3,1,['RED BULL TROPICAL EDITION 250ML']
9317,"[535929, 1028864, 1166865, 1238217]",4, 2585,2018-09-01,1,0.0,4,1,['BEST FIZZ 350G']
9352,[810351],1, 204 57,2018-09-01,1,0.0,1,1,[]
9353,"[240504, 810351]",2, 204,2018-09-01,1,0.0,2,1,[]
9398,[583460],1, 3640 3876 4125 163,2018-09-01,1,0.0,1,1,"['RECHARGE LAVAGE TW - A', 'SDW XXL THON CRUD 230G DAUNAT', 'YOP FRAISE 250G']"
9399,"[386199, 583460]",2, 3640 163,2018-09-01,1,0.0,2,1,['YOP FRAISE 250G']
9400,"[386199, 583460, 590110, 1036452]",4, 3640,2018-09-01,1,0.0,4,1,['YOP FRAISE 250G']
9408,"[444802, 446290, 1007158, 1121384]",4, 3420,2018-09-01,1,0.0,4,1,['MADELEINES L.PE']
9419,"[767197, 1014685, 1058591]",3, 3915 1547,2018-09-01,1,0.0,3,1,"['SAC BOUTIQUE KRAFT', 'SALADE THON CRUDITE DAUNAT 250G']"
9420,"[1014685, 1036452, 1058591]",3, 3915 263,2018-09-01,1,0.0,3,1,"['REMISE BUS AUTOROUTE 9\x80', 'SALADE THON CRUDITE DAUNAT 250G']"
9421,"[767197, 1014685, 1036452, 1058591]",4, 3915,2018-09-01,1,0.0,4,1,['SALADE THON CRUDITE DAUNAT 250G']
9445,"[449166, 478931, 566090, 842170]",4, 2902,2018-09-01,1,0.0,4,1,['TW DET. RESINE ET GOUDRON 300ML']
9469,"[557636, 904661, 1072489]",3, 2936 4112,2018-09-01,1,0.0,3,1,"['LAVAGE CLU', 'TRAITEMENT PREF DIESEL']"
9480,"[312509, 557636, 904661, 1072489]",4, 2936,2018-09-01,1,0.0,4,1,['TRAITEMENT PREF DIESEL']
9481,"[1047955, 1058591]",2, 3196 3944 263 1547 2624,2018-09-01,1,0.0,2,1,"['EMMENTAL 8 PORT', 'ETREMONT EMMENTHAL 150G', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT', 'SDW MINI EMMENT']"
9484,"[172406, 1047955, 1058591]",3, 3196 1547,2018-09-01,1,0.0,3,1,"['EMMENTAL 8 PORT', 'SAC BOUTIQUE KRAFT']"
9485,"[754357, 1047955, 1058591]",3, 3196 263,2018-09-01,1,0.0,3,1,"['EMMENTAL 8 PORT', 'REMISE BUS AUTOROUTE 9\x80']"
9486,"[172406, 754357, 1047955, 1058591]",4, 3196,2018-09-01,1,0.0,4,1,['EMMENTAL 8 PORT']
9492,"[172406, 1058591]",2, 3196 2682 1547 3882,2018-09-01,1,0.0,2,1,"['EMMENTAL 8 PORT', 'LAIT UHT 1/2 ECREME CO  1L', 'SAC BOUTIQUE KRAFT', 'SDW DAUNAT MIMI']"
9511,[127376],1, 203,2018-09-01,1,0.0,1,1,[]
9552,"[156096, 206024, 1024715]",3, 6512,2018-09-01,1,0.0,3,1,[]
9555,"[249680, 1236406]",2, 6445 4126,2018-09-01,1,0.0,2,1,['RECHARGE LAVAGE']
9556,"[249680, 749773, 1236406]",3, 6445,2018-09-01,1,0.0,3,1,[]
9557,"[447321, 905873]",2, 6553,2018-09-01,1,0.0,2,1,[]
9584,"[734723, 1058591]",2, 6946 263 1547 3338 3721,2018-09-01,1,0.0,2,1,"['MONOP TRANCHE EMMENTAL 200G DM', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT', 'SALADE ANTIBES 320G']"
9590,"[147896, 378833, 1111303]",3, 6709,2018-09-01,1,0.0,3,1,['FEBREZE CAR ROSE MATIN 2ML']
9598,"[230856, 267648]",2, 1215 432,2018-09-01,1,0.0,2,1,"['MEZ TIRAMISU CLASSIC', 'MEZ VITTEL PET 50CL']"
9640,[873625],1, 2698 4135 4125 4130,2018-09-01,1,0.0,1,1,"['ASPIRATEUR', 'CABLES DE DEMAR. 25MM 35', 'LAVAGE HP', 'RECHARGE LAVAGE TW - A']"
9641,"[145215, 873625]",2, 2698,2018-09-01,1,0.0,2,1,['CABLES DE DEMAR. 25MM 35']
9675,[162884],1, 1689 2369 4074,2018-09-01,1,0.0,1,1,"['BIDON AD BLUE 10L', 'EVIAN 1L PET*', 'SUC DES VOSGES']"
9678,[191426],1, 2240 4664 1547 1532 5531 2326 2319 3320 5584,2018-09-01,1,0.0,1,1,"['BOUNTY LAIT 3BO', 'LIMONADE CITRON', 'MA PAUSE FRUIT POM MANGUE 120G', ""MINI'STICKS CHORIZO 100G"", 'SAC BOUTIQUE KRAFT', 'SDW MEGA J/E 230G', 'VOLVIC NATURE 1', 'VOLVIC TCHE FRT.CITRON 1,5L']"
9680,"[191426, 391191]",2, 2240,2018-09-01,1,0.0,2,1,['MA PAUSE FRUIT POM MANGUE 120G']
9685,[241558],1, 2021 2020,2018-09-01,1,0.0,1,1,['BE KIND BARRE B']
9686,"[162884, 1216889]",2, 1689,2018-09-01,1,0.0,2,1,['SUC DES VOSGES']
9718,"[156096, 552972, 847558]",3, 3060,2018-09-01,1,0.0,3,1,['MENTION BIEN LAIT 150G CO']
9727,"[528700, 1058591]",2, 3964 263 1547,2018-09-01,1,0.0,2,1,"['BANANE X2 200G', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
9728,"[511527, 528700, 1058591]",3, 3964 1547,2018-09-01,1,0.0,3,1,"['BANANE X2 200G', 'SAC BOUTIQUE KRAFT']"
9738,"[449166, 459305]",2, 3840,2018-09-01,1,0.0,2,1,['DEOCAR ORIGIN POMME VERT']
9770,[657916],1, 2503 6796 4112 2968 4074 4136,2018-09-01,1,0.0,1,1,"['BIDON AD BLUE 10L', 'CHUPA CHUPS  UN', 'HARIBO SCHTROUM', 'LAVAGE CLU', 'RECHARGE LAVAGE TW - D', 'TW 10 LINGUETTE']"
9772,"[657916, 790583, 915555]",3, 2503,2018-09-01,1,0.0,3,1,['HARIBO SCHTROUM']
9778,"[549948, 1058591, 1153425]",3, 2870,2018-09-01,1,0.0,3,1,['MAXI CHEESE X1']
9785,[911967],1, 2910 6706 4125 1538 2922 6266,2018-09-01,1,0.0,1,1,"['ARBRE MAGIQUE S', 'RECH.AMBIPUR TABAC', 'RECHARGE CAFÉ CLUB 2\x80', 'RECHARGE LAVAGE TW - A', 'TW LOT DE 4 MIC', 'TW NETTOYANT TEXTILES 300ML']"
9786,"[911967, 965172]",2, 2910 4125,2018-09-01,1,0.0,2,1,"['RECHARGE LAVAGE TW - A', 'TW NETTOYANT TEXTILES 300ML']"
9788,"[911967, 965172, 1046545]",3, 2910,2018-09-01,1,0.0,3,1,['TW NETTOYANT TEXTILES 300ML']
9791,"[319861, 358932, 696493]",3, 2909,2018-09-01,1,0.0,3,1,['TW ENTR. PLAST.']
9793,"[454013, 561354, 895812]",3, 2908,2018-09-01,1,0.0,3,1,['TW ENTR. PLAST. FINITION BRILLANTE 400ML']
9800,"[1058591, 1153425]",2, 2870 6986 263 1547 3510,2018-09-01,1,0.0,2,1,"['CRISTALINE 1.5L', 'MAXI CHEESE X1', 'PAGO MULTI PUR JUS 33CL', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
9804,"[307437, 907710, 1192303]",3, 4051,2018-09-01,1,0.0,3,1,['LIQ FREIN HBF 4 500ML']
9829,"[423161, 1058591, 1201085]",3, 5807,2018-09-01,1,0.0,3,1,['MONSTER PUNCH E']
9832,[1166148],1, 6247 295 163 1538 3380 5952,2018-09-01,1,0.0,1,1,"['CHAUSSON AUX POMMES NEUHAUSER', 'FUZE TEA MANGUE', 'RECHARGE CAFÉ CLUB 2\x80', 'RICOLA MENTHE P']"
9833,"[772088, 1003518, 1166148]",3, 6247,2018-09-01,1,0.0,3,1,['RICOLA MENTHE P']
9867,"[124464, 181796, 518843]",3, 4273,2018-09-01,1,0.0,3,1,['LAVE GLACE ETE']
9874,"[119803, 152472, 348948]",3, 4064,2018-09-01,1,0.0,3,1,['TOTAL 5000 E 15W40 2L']
9876,"[320316, 596052]",2, 4060,2018-09-01,1,0.0,2,1,['TOTAL 5000 D 15W40 5L']
9877,[907710],1, 4051 4063 4061,2018-09-01,1,0.0,1,1,"['LIQ FREIN HBF 4 500ML', 'TOTAL 7000 D 10W40 5L', 'TOTAL 7000 E 10W40 2L']"
9881,"[124464, 518843]",2, 4273 4136,2018-09-01,1,0.0,2,1,"['LAVE GLACE ETE', 'RECHARGE LAVAGE TW - D']"
9882,[124464],1, 4273 3494 2968 4074 2946 4136 1760,2018-09-01,1,0.0,1,1,"['BIDON AD BLUE 10L', 'COCA COLA CHERRY 50CL PET', 'EVOLUTION FULL-', 'LAVE GLACE ETE', 'RECHARGE LAVAGE TW - D', 'TW  LAVE GLACE', 'TW 10 LINGUETTE']"
9888,[1121384],1, 5329 3420 431 1738 2369 1669 890 2368 1394 3875 1378 3922 2583,2018-09-01,1,0.0,1,1,"['ARLEQUIN 150G', 'BD DOUBLE EXPRE', 'BD PAIN RAISIN', 'CAFE EXPRESSO', 'COOK CR TT CHOC', 'CR CAFE EXPRESSO', 'CR PAIN AUX RAISINS', 'EVIAN 1L PET*', 'EVIAN 50CL', 'FLAN PATISSIER 120G DAUNAT', 'MADELEINES L.PE', 'TRIANGLE JAMBOM']"
9889,"[350143, 1121384]",2, 5329 3922 2368,2018-09-01,1,0.0,2,1,"['COOK CR TT CHOC', 'EVIAN 50CL', 'FLAN PATISSIER 120G DAUNAT']"
9890,"[468192, 1121384]",2, 5329 3875,2018-09-01,1,0.0,2,1,"['COOK CR TT CHOC', 'TRIANGLE JAMBOM']"
9891,"[350143, 468192, 1121384]",3, 5329,2018-09-01,1,0.0,3,1,['COOK CR TT CHOC']
9912,[1044582],1, 4640 4126 4125,2018-09-01,1,0.0,1,1,"['BRILLANT PNEU  500ML NEO', 'RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
9916,[350965],1, 4517 2968 4074 2797 4121,2018-09-01,1,0.0,1,1,"['ANTARGAZ 13 KG BUTANE', 'BIDON AD BLUE 10L', 'COCA COLA 50CL PET', 'PEIT BOIS 20L BBS', 'TW 10 LINGUETTE']"
9937,[572243],1, 4990 2968,2018-09-01,1,0.0,1,1,"['TLJ ESSUIE TOUT', 'TW 10 LINGUETTE']"
9968,[1058591],1, 3845 263 1547 431 3510 890 3882 1400 3338 2682 6990 6985 2817 2624 3037 3049 3944 6986 4264 2329 3721 4265 3765 3873 3196 3915 5628 6988 2870 3964 5807 6946 2446 3137 3803 3729 3802 3804,2018-09-01,1,0.0,1,1,"['BALISTO LAIT MIEL AM 37G', 'BANANE BIO 450G', 'BANANE X2 200G', 'BD GRAND CREME', 'BRIE PASTEURISE 60%MG 188G ENV', 'CAFE EXPRESSO', 'CANDY UP CHOCOLAT 50CL', 'CRISTALINE 1.5L', 'EMMENTAL 8 PORT', 'ETREMONT EMMENTHAL 150G', 'LAIT 1/2 ECREME', 'LAIT 1/2 ECREME 50CL', 'LAIT UHT 1/2 ECREME CO  1L', 'MANCHONS POULET NAT 250G DM', 'MAXI CHEESE X1', 'MONOP TRANCHE EMMENTAL 200G DM', 'MONSTER PUNCH E', 'PAGO ACE 33CL P', 'PAGO FRAISE 33C', 'PAGO JUS ANANAS', 'PAGO MULTI PUR JUS 33CL', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT', 'SALADE ANTIBES 320G', 'SALADE FETA ET', 'SALADE THON CRUDITE DAUNAT 250G', 'SDW DAUNAT MIMI', 'SDW MINI EMMENT', 'SDW THON CRUD 160G DAUNAT', 'VOLVIC FRUITS EXOTIQUES 50CL', 'YRT VANILLE MNO']"
9971,[949334],1, 3834 4125 4131 3510 285 6261,2018-09-01,1,0.0,1,1,"['ARBRE MAGIQUE PECHE', 'CRISTALINE 1.5L', 'DEOCA SPRAY CERISE 75ML', 'LAVAGE 2 PLEIN TARIF', 'RECHARGE LAVAGE TW - A']"
10001,[348948],1, 4052 4112 4074 4136 6459 4064,2018-09-01,1,0.0,1,1,"['BIDON AD BLUE 10L', 'LAVAGE CLU', 'RECHARGE LAVAGE TW - D', 'TOTAL 5000 E 15W40 2L', 'TOTAL FLUIDE ATX 1L']"
10017,[598391],1, 6052 4125,2018-09-01,1,0.0,1,1,['RECHARGE LAVAGE TW - A']
10052,[1098547],1, 6167 4125 6166,2018-09-01,1,0.0,1,1,['RECHARGE LAVAGE TW - A']
10125,[302709],1, 1725 4125 2899 2906 2918 6267,2018-09-01,1,0.0,1,1,"['ABRE MAGIQUE POMME', 'FIVE FLOOD 31G', 'RECHARGE LAVAGE TW - A', 'TW MICROFIBRE  MULTI USAGE', 'TW NET PLASTIQU', 'TW NET. JANTES SURPUISSANT 500ML']"
10190,[230856],1, 1204 3881 2723 2216 2461 3694 4222 432 1215,2018-09-01,1,0.0,1,1,"['HARI SACHET 120', 'JUST UN DELICE AU JAMBON', 'LU BARQUETTE FRAISE 120G', 'MEZ FOCACCIA MOZZA COPPA', 'MEZ TIRAMISU CLASSIC', 'MEZ VITTEL PET 50CL', 'MINI CAPRICE D/DIEUX 50G', 'MONSTER MUNCH SALE 85G', 'SDW DAUNAT MINI']"
10227,[929267],1, 2991 4126 4125,2018-09-01,1,0.0,1,1,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
10238,[895812],1, 2898 4112 4125 2631 6365 2908,2018-09-01,1,0.0,1,1,"['LAVAGE CLU', 'ORANGINA PET 50', 'PEPITO CHOCO LAIT 192G', 'RECHARGE LAVAGE TW - A', 'TW ENTR. PLAST. FINITION BRILLANTE 400ML', 'TW POLISH MICRO RAYURE 500ML']"
10240,[449166],1, 3117 3510 5624 3306 2902 3840,2018-09-01,1,0.0,1,1,"['CRISTALINE 1.5L', 'DEOCAR ORIGIN POMME VERT', 'MMS PEANUT JNE 200G', 'MOUCHOIR ETUI 6X9', 'SDW MEGA JB CHE', 'TW DET. RESINE ET GOUDRON 300ML']"
10254,[1072489],1, 3443 4112 4126 2946 3269 4663 2325 4218 4638 1797 2920 2922 4081 2919 2936 5482 5485 3476 3829 3836 2290 2924 3027 3430,2018-09-01,1,0.0,1,1,"['AUVE. MIN STICK NAT 100G', 'BANDOL CLUB SOM', 'BATON BERGER NATURE 80G', 'GS27 SUPER DEGR 250ML', 'LAVAGE CLU', 'MENTOS BOT P.FRESH M 60G', 'MOUTON CADET RG', 'NEOCLEAN JANTES', 'NETTOYANT TOUS', 'PASTIS 51 45%VO', 'RECHARGE LAVAGE', 'RITTER BLANC NU', 'RITTER LAIT MAC', 'SDW GOUR SAUMON', 'START PILOTE 150ML', 'TOTAL ACTIVA 9000 5W40 2L', 'TRAITEMENT PREF DIESEL', 'TW  LAVE GLACE', 'TW BROSSE JANTES', 'TW LOT DE 4 MIC', 'TW MICROFIBRE DE SECHAGE', 'TW MICROFIBRE VITRES', 'VOLVIC ZEST CIT']"
10319,[392706],1, 6280 2946 2956 6485 2906 2146,2018-09-01,1,0.0,1,1,"['TOTAL ADBLUE BEC V. 5L', 'TW  LAVE GLACE', 'TW NET PLASTIQU', 'TW NETTOYANT VITRE 500ML']"
10326,"[100497, 107225, 113425, 113487, 114202, 121672, 123777, 138455, 168332, 176424, 183398, 186835, 231223, 242913, 259756, 261280, 263990, 267648, 278593, 278763, 280999, 378833, 406989, 439825, 447204, 460684, 467772, 540247, 542534, 543699, 556301, 575459, 584447, 585878, 597247, 734723, 758395, 818643, 836943, 869831, 872217, 880018, 916245, 954307, 971686, 988692, 995709, 1006214, 1015043, 1039399, 1041531, 1048011, 1115172, 1121384, 1150208, 1153425, 1162193, 1180587, 1219891]",59, 1738,2018-09-01,1,0.0,59,1,['CR CAFE EXPRESSO']
10330,"[270220, 1061637, 1095891, 1196697]",4, 1622 1538 163,2018-09-01,1,0.0,4,1,"['CR PAIN AU CHOCOLAT', 'RECHARGE CAFÉ CLUB 2\x80']"
10331,"[112044, 138455, 270220, 1007158, 1061637, 1095891, 1196697]",7, 1622 163,2018-09-01,1,0.0,7,1,['CR PAIN AU CHOCOLAT']
10334,"[100715, 103977, 112041, 112044, 114202, 121672, 123777, 138455, 179750, 199673, 261280, 270220, 305678, 350978, 381294, 407030, 433654, 439825, 468192, 493984, 529566, 539737, 578301, 584447, 585878, 600388, 756866, 836943, 907465, 916245, 971894, 992218, 998545, 1007158, 1014685, 1015043, 1040391, 1048011, 1048518, 1061637, 1071032, 1075356, 1095891, 1140364, 1153425, 1196697]",46, 1622,2018-09-01,1,0.0,46,1,['CR PAIN AU CHOCOLAT']
10335,[314138],1, 4131 2956 4112,2018-09-01,1,0.0,1,1,"['LAVAGE 2 PLEIN TARIF', 'LAVAGE CLU', 'TOTAL ADBLUE BEC V. 5L']"
10336,[1030310],1, 4131 4130 1538 4126 2968,2018-09-01,1,0.0,1,1,"['ASPIRATEUR', 'LAVAGE 2 PLEIN TARIF', 'RECHARGE CAFÉ CLUB 2\x80', 'RECHARGE LAVAGE', 'TW 10 LINGUETTE']"
10337,"[316368, 975853, 1030310]",3, 4131 4130 2968,2018-09-01,1,0.0,3,1,"['ASPIRATEUR', 'LAVAGE 2 PLEIN TARIF', 'TW 10 LINGUETTE']"
10338,"[129525, 352980, 411041, 1030310]",4, 4131 4130 4126,2018-09-01,1,0.0,4,1,"['ASPIRATEUR', 'LAVAGE 2 PLEIN TARIF', 'RECHARGE LAVAGE']"
10339,"[129525, 316368, 352980, 411041, 513037, 615217, 812459, 975853, 1030310]",9, 4131 4130,2018-09-01,1,0.0,9,1,"['ASPIRATEUR', 'LAVAGE 2 PLEIN TARIF']"
10343,"[267648, 278593, 447204, 540247, 543699, 916245, 1041531, 1121384, 1162193]",9, 1738 431,2018-09-01,1,0.0,9,1,"['CAFE EXPRESSO', 'CR CAFE EXPRESSO']"
10346,"[130532, 137871, 284704]",3, 2944 163,2018-09-01,1,0.0,3,1,['TW  LAVE GLACE DEMOUSTIQUEUR 4L']
10348,"[150817, 1067863]",2, 2944 4125,2018-09-01,1,0.0,2,1,"['RECHARGE LAVAGE TW - A', 'TW  LAVE GLACE DEMOUSTIQUEUR 4L']"
10352,"[102475, 109302, 115068, 130532, 135514, 137251, 137677, 137871, 150817, 181421, 216255, 233328, 247304, 263477, 266648, 271791, 274894, 284704, 293992, 303422, 319309, 339905, 351503, 360383, 379139, 383170, 384261, 390756, 391816, 401213, 403759, 407242, 445207, 449671, 462727, 479921, 490190, 494444, 495544, 504168, 511290, 518003, 537653, 555991, 557579, 593782, 626543, 707394, 716605, 773493, 793919, 888764, 899061, 911475, 945455, 977090, 996186, 996211, 1029114, 1037809, 1043904, 1051587, 1058725, 1067863, 1098509, 1102873, 1111303, 1188127, 1189589, 1195348]",70, 2944,2018-09-01,1,0.0,70,1,['TW  LAVE GLACE DEMOUSTIQUEUR 4L']
10356,"[316368, 518800, 975853, 1030310]",4, 4131 2968,2018-09-01,1,0.0,4,1,"['LAVAGE 2 PLEIN TARIF', 'TW 10 LINGUETTE']"
10361,"[350965, 1174591]",2, 2797 4074,2018-09-01,1,0.0,2,1,"['BIDON AD BLUE 10L', 'COCA COLA 50CL PET']"
10363,"[350965, 539653, 997283, 1036808]",4, 2797 2968,2018-09-01,1,0.0,4,1,"['COCA COLA 50CL PET', 'TW 10 LINGUETTE']"
10365,"[100715, 108396, 112006, 137982, 138134, 162585, 177528, 207287, 242901, 278763, 308695, 350965, 366803, 369654, 402629, 416219, 453036, 453193, 483688, 526399, 539653, 573355, 584447, 596217, 606290, 675318, 729048, 729839, 761442, 905873, 918264, 934189, 949779, 970153, 971686, 983577, 997283, 1007975, 1010069, 1014685, 1016894, 1036452, 1036808, 1043581, 1049835, 1064854, 1072966, 1111436, 1116587, 1121094, 1152434, 1153425, 1162191, 1174591, 1203306]",55, 2797,2018-09-01,1,0.0,55,1,['COCA COLA 50CL PET']
10369,"[615217, 949334]",2, 4131 4125,2018-09-01,1,0.0,2,1,"['LAVAGE 2 PLEIN TARIF', 'RECHARGE LAVAGE TW - A']"
10370,"[100169, 314138, 518800, 975853, 1014033]",5, 4131 4112,2018-09-01,1,0.0,5,1,"['LAVAGE 2 PLEIN TARIF', 'LAVAGE CLU']"
10371,"[100169, 117790, 129525, 156121, 166799, 171795, 191307, 211149, 219957, 269732, 274796, 300175, 314138, 316368, 352980, 360011, 411041, 513037, 518800, 556689, 615217, 640694, 671210, 724230, 799041, 812459, 815181, 864748, 890518, 898275, 905482, 949334, 975853, 1014033, 1022283, 1030310, 1049071, 1198647]",38, 4131,2018-09-01,1,0.0,38,1,['LAVAGE 2 PLEIN TARIF']
10372,"[115022, 181421, 232475, 250397, 257886, 270809, 314138, 383035, 490823, 528757, 550646, 599725, 879507, 906775, 911475, 932324, 997163, 1185433]",18, 2956 4112,2018-09-01,1,0.0,18,1,"['LAVAGE CLU', 'TOTAL ADBLUE BEC V. 5L']"
10373,"[115022, 129105, 130555, 137379, 150393, 168584, 178786, 181421, 189769, 204400, 213511, 215168, 232475, 242990, 247730, 250022, 250397, 257886, 260525, 260730, 270809, 273277, 284017, 293851, 314138, 321593, 325922, 331165, 332348, 347996, 355203, 362310, 365690, 378116, 378547, 383035, 384261, 391816, 392706, 409352, 427283, 429537, 434481, 437949, 447519, 450548, 458921, 459030, 460089, 462102, 468192, 490823, 496573, 500158, 528757, 537145, 543430, 545598, 546043, 550646, 567649, 569180, 587875, 599725, 624419, 804528, 817083, 838612, 839435, 842600, 879507, 906775, 910027, 911475, 932324, 942245, 950786, 969099, 996628, 997163, 1006960, 1016473, 1024715, 1161862, 1183237, 1185433, 1198445, 1199905, 1225976]",89, 2956,2018-09-01,1,0.0,89,1,['TOTAL ADBLUE BEC V. 5L']
10375,"[353221, 361384, 409352, 530240, 1030971, 1096332]",6, 4129 4127,2018-09-01,1,0.0,6,1,"['REC LAVAGE PJE', 'REC LAVAGE PJE  20 U']"
10376,"[392865, 470752]",2, 4129 2946 4074 4112,2018-09-01,1,0.0,2,1,"['BIDON AD BLUE 10L', 'LAVAGE CLU', 'REC LAVAGE PJE', 'TW  LAVE GLACE']"
10377,"[392865, 470752, 943036]",3, 4129 2946 4112,2018-09-01,1,0.0,3,1,"['LAVAGE CLU', 'REC LAVAGE PJE', 'TW  LAVE GLACE']"
10378,"[392865, 470752, 565546, 605098, 943036]",5, 4129 2946,2018-09-01,1,0.0,5,1,"['REC LAVAGE PJE', 'TW  LAVE GLACE']"
10379,"[249680, 470752]",2, 4129 4074 4126,2018-09-01,1,0.0,2,1,"['BIDON AD BLUE 10L', 'REC LAVAGE PJE', 'RECHARGE LAVAGE']"
10380,"[249680, 392865, 470752]",3, 4129 4074,2018-09-01,1,0.0,3,1,"['BIDON AD BLUE 10L', 'REC LAVAGE PJE']"
10381,"[337309, 375108, 470752]",3, 4129 2968,2018-09-01,1,0.0,3,1,"['REC LAVAGE PJE', 'TW 10 LINGUETTE']"
10382,"[250397, 257886, 347996, 545598, 567649, 911475]",6, 2956 4126,2018-09-01,1,0.0,6,1,"['RECHARGE LAVAGE', 'TOTAL ADBLUE BEC V. 5L']"
10383,"[249680, 333674, 470752, 1030971]",4, 4129 4126,2018-09-01,1,0.0,4,1,"['REC LAVAGE PJE', 'RECHARGE LAVAGE']"
