,user_ids,support,itemsets,period,property_values,depth,size,a
1873,[204037 314494 575459 998545],4, 6157591 4159045,2018-09-01,1,0.0,4,1
1874,[204037 575459],2, 6157591 4159045 3450014,2018-09-01,1,0.0,2,1
1875,[ 438350  540247  731074  988692 1216762],5, 6157591 3450013,2018-09-01,1,0.0,5,1
1876,[540247 988692],2, 6157591 3450013 5401047,2018-09-01,1,0.0,2,1
1877,[540247 731074],2, 6157591 3450013 3461025,2018-09-01,1,0.0,2,1
1878,[314494 381774 473768 988692],4, 6157591 18064205,2018-09-01,1,0.0,4,1
1879,[314494 575459],2, 6157591 3461039 4159045,2018-09-01,1,0.0,2,1
1880,"[206659 254144 264552 275548 312825 353824 488754 505859 540247 543699
 584447 679482 809946 819872 963615]",15, 7719715,2018-09-01,1,0.0,15,1
1881,[264552 353824 505859 540247 543699 809946 963615],7, 7719715 7445935,2018-09-01,1,0.0,7,1
1882,[ 575459 1173969],2, 6157591 3450042 2850269,2018-09-01,1,0.0,2,1
1883,"[ 112041  168332  267956  306030  369654  448392  881754  998545 1062852
 1063543 1086750]",11, 3461018,2018-09-01,1,0.0,11,1
1884,[ 988692  998545 1162193 1173969],4, 6157591 6033 6026,2018-09-01,1,0.0,4,1
1885,[ 112041  600388  998545 1014685],4, 6157591 19419902,2018-09-01,1,0.0,4,1
1886,[171222 293147 331511 791569],4, 3450011 3461025,2018-09-01,1,0.0,4,1
1887,[171222 331511 734723],3, 3450011 3450013,2018-09-01,1,0.0,3,1
1888,[171222 331511],2, 3450011 3450013 3461025,2018-09-01,1,0.0,2,1
1889,[277744 486628 734723],3, 3450011 18064205,2018-09-01,1,0.0,3,1
1890,[486628 734723],2, 3450011 18064205 3450014,2018-09-01,1,0.0,2,1
1891,"[ 113487  204029  267956  284718  309153  314494  320316  337743  380828
  400827  409096  526900  575459  599279  725052  734723  869831 1064097]",18, 3461039,2018-09-01,1,0.0,18,1
1892,[309153 380828 409096 575459 734723],5, 3461039 3450014,2018-09-01,1,0.0,5,1
1893,[380828 734723],2, 3461039 3450014 13600075,2018-09-01,1,0.0,2,1
1894,[113487 320316 526900 575459],4, 3461039 2850269,2018-09-01,1,0.0,4,1
1895,[ 600388  998545 1014685],3, 6157591 19419902 13600075,2018-09-01,1,0.0,3,1
1896,[400827 575459 725052],3, 3461039 3450042,2018-09-01,1,0.0,3,1
1897,[113487 204029 267956 314494 734723],5, 3461039 18064205,2018-09-01,1,0.0,5,1
1898,[309153 734723],2, 3461039 3450011 3450014,2018-09-01,1,0.0,2,1
1899,"[ 113425  211249  250022  263990  278763  382431  405080  407141  543699
  556301  585878  737348  863647 1049835]",14, 1073439,2018-09-01,1,0.0,14,1
