,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
115,"[261215, 489055, 555806, 584447]",4, 1615 1738,2017-04-01,50-65,0.05555555555555555,4,50-65,"['CR CAFE EXPRESSO', 'CR FLAN NATURE']"
120,"[100715, 339524, 584447]",3, 2631 2797,2017-04-01,50-65,0.05555555555555555,3,50-65,"['COCA COLA 50CL PET', 'ORANGINA PET 50']"
121,"[131005, 584447, 752568]",3, 3922 263,2017-04-01,50-65,0.05555555555555555,3,50-65,"['FLAN PATISSIER 120G DAUNAT', 'REMISE BUS AUTOROUTE 9\x80']"
122,"[194691, 584447, 677551]",3, 3922 1547,2017-04-01,50-65,0.05555555555555555,3,50-65,"['FLAN PATISSIER 120G DAUNAT', 'SAC BOUTIQUE KRAFT']"
125,"[471775, 584447, 594666]",3, 693 1622 1738,2017-04-01,50-65,0.05555555555555555,3,50-65,"['CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT', 'CRO JUS ORANGE 25 CL ANDROS']"
135,"[211249, 245144, 575459]",3, 461 688,2017-04-01,50-65,0.05555555555555555,3,50-65,"['CR EVIAN PET 50CL', 'CRO SALADE LA MEDINA']"
140,"[149358, 418178, 758160]",3, 3881 2797,2017-04-01,35-49,0.05555555555555555,3,35-49,"['COCA COLA 50CL PET', 'SDW DAUNAT MINI']"
142,"[131834, 376752, 460608, 518808, 528271, 535596, 592202, 836821]",8, 4099 4125,2017-04-01,35-49,0.05555555555555555,8,35-49,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
148,"[455970, 565366, 604947]",3, 5925 2797,2017-04-01,35-49,0.05555555555555555,3,35-49,"['COCA COLA  1L', 'COCA COLA 50CL PET']"
149,"[539653, 565366, 887803, 913872]",4, 5925 3510,2017-04-01,35-49,0.05555555555555555,4,35-49,"['COCA COLA  1L', 'CRISTALINE 1.5L']"
151,"[622027, 734723, 754685, 913872]",4, 1615 263,2017-04-01,35-49,0.05555555555555555,4,35-49,"['CR FLAN NATURE', 'REMISE BUS AUTOROUTE 9\x80']"
153,"[610249, 622027, 734723, 754685]",4, 1615 602,2017-04-01,35-49,0.05555555555555555,4,35-49,"['CR FLAN NATURE', 'CR SANDWHICH OCEANIQUE (NEW)']"
154,"[622027, 734723, 754685]",3, 1615 602 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CR FLAN NATURE', 'CR SANDWHICH OCEANIQUE (NEW)', 'REMISE BUS AUTOROUTE 9\x80']"
158,"[555714, 574634, 622027]",3, 1704 1547 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['KIT KAT X 3  124.50', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
159,"[149358, 162365, 619437]",3, 3268 2797,2017-04-01,35-49,0.05555555555555555,3,35-49,"['COCA COLA 50CL PET', 'SDW POULET CAESAR 190G']"
161,"[734723, 758594, 772088]",3, 6723 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAN PELLEGRINO  50CL']"
163,"[555714, 574634, 751356]",3, 1547 3510 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
164,"[539653, 555714, 574634, 751356]",4, 1547 3510,2017-04-01,35-49,0.05555555555555555,4,35-49,"['CRISTALINE 1.5L', 'SAC BOUTIQUE KRAFT']"
167,"[112041, 322520, 405080]",3, 611 682,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CR COCA COLA ZERO PET 50CL', 'CR SDW PARISIEN BY NORBERT']"
168,"[113661, 495068, 592510, 732484, 756856, 868017]",6, 4125 4126,2017-04-01,35-49,0.05555555555555555,6,35-49,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
169,"[112006, 193056, 214721, 318300, 340311, 369391, 425686, 445147, 595074, 608653]",10, 2797 4126,2017-04-01,35-49,0.05555555555555555,10,35-49,"['COCA COLA 50CL PET', 'RECHARGE LAVAGE']"
171,"[110899, 210939, 235462, 292347, 293947, 427096, 460228, 499712, 592390, 607784, 619437, 663289]",12, 2797 163,2017-04-01,35-49,0.05555555555555555,12,35-49,['COCA COLA 50CL PET']
172,"[619437, 734723, 913872]",3, 263 163,2017-04-01,35-49,0.05555555555555555,3,35-49,['REMISE BUS AUTOROUTE 9\x80']
173,"[418129, 565366, 616565, 619437, 622586]",5, 263 2797,2017-04-01,35-49,0.05555555555555555,5,35-49,"['COCA COLA 50CL PET', 'REMISE BUS AUTOROUTE 9\x80']"
177,"[152806, 195105, 253734, 279261, 322207, 342376, 369391, 380689, 441047, 448117, 464842, 470042, 748791, 911475]",14, 2969 4126,2017-04-01,35-49,0.05555555555555555,14,35-49,"['RECHARGE LAVAGE', 'TW LG DEMOUSTIQUEUR 3+1L']"
178,"[149358, 369654, 619437]",3, 6969 3268,2017-04-01,35-49,0.05555555555555555,3,35-49,"['RED BULL BTE 25CL', 'SDW POULET CAESAR 190G']"
181,"[152806, 247304, 342376, 369391, 418113, 441047, 545944, 911475]",8, 2946 2969,2017-04-01,35-49,0.05555555555555555,8,35-49,"['TW  LAVE GLACE', 'TW LG DEMOUSTIQUEUR 3+1L']"
182,"[152806, 342376, 369391, 441047, 911475]",5, 2946 2969 4126,2017-04-01,35-49,0.05555555555555555,5,35-49,"['RECHARGE LAVAGE', 'TW  LAVE GLACE', 'TW LG DEMOUSTIQUEUR 3+1L']"
184,"[354730, 441047, 447321, 470042]",4, 4136 4126,2017-04-01,35-49,0.05555555555555555,4,35-49,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - D']"
187,"[555714, 565366, 574634, 751356, 913872]",5, 3510 263,2017-04-01,35-49,0.05555555555555555,5,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80']"
188,"[105377, 199655, 607089]",3, 5607 4126,2017-04-01,35-49,0.05555555555555555,3,35-49,"['COCA COLA ZERO 50CL PET', 'RECHARGE LAVAGE']"
189,"[555714, 565366, 616225, 622027, 734723, 754685]",6, 602 263,2017-04-01,35-49,0.05555555555555555,6,35-49,"['CR SANDWHICH OCEANIQUE (NEW)', 'REMISE BUS AUTOROUTE 9\x80']"
190,"[113670, 555714, 565366, 610249]",4, 602 3510,2017-04-01,35-49,0.05555555555555555,4,35-49,"['CR SANDWHICH OCEANIQUE (NEW)', 'CRISTALINE 1.5L']"
191,"[152806, 184838, 324402, 342376, 369391, 428148, 441047, 472871, 604625, 911475]",10, 2946 4126,2017-04-01,35-49,0.05555555555555555,10,35-49,"['RECHARGE LAVAGE', 'TW  LAVE GLACE']"
193,"[294115, 555714, 574634, 588730, 619437, 622027, 622586, 751356, 758594, 840055, 849812]",11, 1547 263,2017-04-01,35-49,0.05555555555555555,11,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
194,"[565366, 616565, 751356]",3, 2631 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['ORANGINA PET 50', 'REMISE BUS AUTOROUTE 9\x80']"
198,"[546716, 555714, 574634, 588730]",4, 5629 263,2017-04-01,35-49,0.05555555555555555,4,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SNICKERS X 3 150G']"
199,"[201253, 555714, 574634]",3, 5629 3510,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CRISTALINE 1.5L', 'SNICKERS X 3 150G']"
200,"[555714, 574634, 588730]",3, 5629 1547 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT', 'SNICKERS X 3 150G']"
201,"[565366, 622013, 840247]",3, 5845 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['LOTUS GAUFRES L', 'REMISE BUS AUTOROUTE 9\x80']"
204,"[565366, 619437, 734723, 751356]",4, 3889 263,2017-04-01,35-49,0.05555555555555555,4,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SDW MLX THON OE']"
205,"[561252, 565366, 751356]",3, 3889 3510,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CRISTALINE 1.5L', 'SDW MLX THON OE']"
206,"[565366, 622027, 734723]",3, 3876 602 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CR SANDWHICH OCEANIQUE (NEW)', 'REMISE BUS AUTOROUTE 9\x80', 'SDW XXL THON CRUD 230G DAUNAT']"
207,"[149358, 600388, 619437]",3, 3889 6969,2017-04-01,35-49,0.05555555555555555,3,35-49,"['RED BULL BTE 25CL', 'SDW MLX THON OE']"
212,"[469824, 565366, 619437, 622586]",4, 3637 263,2017-04-01,35-49,0.05555555555555555,4,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'YOP FRAISE 500G']"
213,"[565366, 619437, 622586]",3, 3637 263 2797,2017-04-01,35-49,0.05555555555555555,3,35-49,"['COCA COLA 50CL PET', 'REMISE BUS AUTOROUTE 9\x80', 'YOP FRAISE 500G']"
214,"[565366, 583460, 619437]",3, 3637 3309,2017-04-01,35-49,0.05555555555555555,3,35-49,"['SDW MEGA THON OE TOM 270G', 'YOP FRAISE 500G']"
217,"[320988, 468745, 488496, 565366, 616565]",5, 2631 2797,2017-04-01,35-49,0.05555555555555555,5,35-49,"['COCA COLA 50CL PET', 'ORANGINA PET 50']"
219,"[565366, 619437, 751356]",3, 3889 3309 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SDW MEGA THON OE TOM 270G', 'SDW MLX THON OE']"
220,"[565366, 610037, 622027, 734723]",4, 3876 263,2017-04-01,35-49,0.05555555555555555,4,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SDW XXL THON CRUD 230G DAUNAT']"
221,"[149358, 565366, 619437]",3, 3889 2797,2017-04-01,35-49,0.05555555555555555,3,35-49,"['COCA COLA 50CL PET', 'SDW MLX THON OE']"
222,"[574634, 619437, 758594]",3, 3622 1547 263,2017-04-01,35-49,0.05555555555555555,3,35-49,"['CREP CHOCO WHAO', 'REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
