,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE
79,"[279525 286391 555714 565366 584447 610249 616225 622027 734723 754685
 828469 964970 971894]",13, 3450013 6033,2017-06-01,COCO,0.11764705882352941,13,COCO
80,"[286391 555714 565366 584447 610249 616225 622027 734723 754685 828469
 964970]",11, 3450013 6033 6026,2017-06-01,COCO,0.11764705882352941,11,COCO
81,[286391 584447 734723 754685 828469 849812 908778],7, 3450013 13600075 6026,2017-06-01,COCO,0.11764705882352941,7,COCO
82,[286391 584447 734723 754685 828469],5, 3450013 13600075 6033 6026,2017-06-01,COCO,0.11764705882352941,5,COCO
83,[372970 576608 626162 872971 874415],5, 19419902 12520039,2017-06-01,COCO,0.11764705882352941,5,COCO
84,[519885 555714 565366 584447 610249 616225 622027 734723 754685 828469],10, 6027 6033 6026,2017-06-01,COCO,0.11764705882352941,10,COCO
85,[156096 214134 349380 399087 469829 516496 542073 578639 902624 971894],10, 7476355 7445935,2017-06-01,COCO,0.11764705882352941,10,COCO
86,"[519885 555714 565366 584447 610249 616225 622013 622027 695135 734723
 754685 761107 828469 849812 908778 913872]",16, 6027 6026,2017-06-01,COCO,0.11764705882352941,16,COCO
87,"[294115 349380 399087 400722 468837 505859 542073 553832 578639 698767
 715341 754685 911614 971894]",14, 7476355 6033,2017-06-01,COCO,0.11764705882352941,14,COCO
88,[349380 399087 489055 505859 553832 578639 715341 754685],8, 7476355 6026,2017-06-01,COCO,0.11764705882352941,8,COCO
89,[349380 399087 471775 519885 578639],5, 7445935 6033 6026,2017-06-01,COCO,0.11764705882352941,5,COCO
90,"[349380 399087 471775 519885 519887 521183 542073 545984 578639 612925
 971894]",11, 7445935 6033,2017-06-01,COCO,0.11764705882352941,11,COCO
91,[349380 399087 471775 519885 578639 695135],6, 7445935 6026,2017-06-01,COCO,0.11764705882352941,6,COCO
92,[349380 399087 505859 553832 578639 715341 754685],7, 7476355 6033 6026,2017-06-01,COCO,0.11764705882352941,7,COCO
93,[584447 734723 754685 828469 849812 908778],6, 6027 3450013 13600075 6026,2017-06-01,COCO,0.11764705882352941,6,COCO
94,[555714 565366 584447 610249 616225 622027 734723 754685 828469],9, 6027 3450013 6033 6026,2017-06-01,COCO,0.11764705882352941,9,COCO
95,"[555714 565366 584447 610249 616225 622027 734723 754685 828469 849812
 908778 913872]",12, 6027 3450013 6026,2017-06-01,COCO,0.11764705882352941,12,COCO
96,[519885 584447 734723 754685 828469],5, 6027 13600075 6033 6026,2017-06-01,COCO,0.11764705882352941,5,COCO
97,[519885 584447 734723 754685 761107 828469 849812 908778],8, 6027 13600075 6026,2017-06-01,COCO,0.11764705882352941,8,COCO
98,[187833 200726 322520 363922 575890 600388 626162 694502 754685 881166],10, 4190175 19419902,2017-06-01,COCO,0.11764705882352941,10,COCO
99,[151017 171222 211249 376091 476509],5, 3461003 3450013,2017-08-01,COCO,0.17647058823529413,5,COCO
100,[380150 482421 489055 548624 563837],5, 5401004 6033,2017-08-01,COCO,0.17647058823529413,5,COCO
101,[111738 241017 380150 482421 548624 563837],6, 5401004 7445935,2017-08-01,COCO,0.17647058823529413,6,COCO
