,user_ids,support,itemsets,period,property_values,depth,size,AGE
53,"[ 128350  146600  158617  163515  177513  184167  476854  517526  526401
  528196  540569  554195  617207  617315  698423  845498  869651  936300
  982345 1008295 1043600]",21, 7445935 13600075,2018-01-01,50-65,0.0,21,50-65
54,"[ 422025  474114  517526  528196  540876  611147  651557  718183  845498
 1008295 1018051]",11, 7445935 451,2018-01-01,50-65,0.0,11,50-65
55,"[ 255408  369557  418215  443850  498932  505932  525978  538233  539066
  555132  657434  844750  864008 1028945]",14, 5450127 5461017,2018-01-01,35-49,0.0,14,35-49
56,"[ 255408  301252  429082  433684  497068  506766  538233  539066  539209
  555132  583711  603101  657434  846428  994574  997352 1028945]",17, 5450127 7445935,2018-01-01,35-49,0.0,17,35-49
57,[237911 310913 316200 578134 583711 588712 607551 742139 765853 960189],10, 5430043 5461028,2018-01-01,35-49,0.0,10,35-49
58,"[102163 111270 290844 372273 418215 428864 490029 539066 609196 622536
 743993 884308 930497]",13, 5430043 5461017,2018-01-01,35-49,0.0,13,35-49
59,"[102163 124383 147422 539066 553055 578134 583711 607551 609196 876268
 884308 930497 960189 991802 997352]",15, 5430043 7445935,2018-01-01,35-49,0.0,15,35-49
60,"[ 154505  273340  300373  451548  490926  506766  828996  833835  909954
 1037531]",10, 7729855 5461018,2018-01-01,35-49,0.0,10,35-49
61,"[255408 273340 398714 429082 506766 525815 570918 600577 607551 731535
 828996 909954 930497 993455]",14, 7729855 7445935,2018-01-01,35-49,0.0,14,35-49
62,"[ 154971  255738  345319  497672  524062  581516  600984  602619  715983
  893165  930497 1003671]",12, 5450125 5461017,2018-01-01,35-49,0.0,12,35-49
63,"[124383 147422 255738 345319 419766 497672 524062 564980 600984 607152
 613110 715983 789697 845827 848176 930497 991802]",17, 5450125 7445935,2018-01-01,35-49,0.0,17,35-49
64,"[ 150153  208406  228086  487743  490738  537851  619106  899715  951008
  967375 1013705]",11, 3451004 18064205,2018-01-01,35-49,0.0,11,35-49
65,[199926 362982 398616 409523 425612 471945 607111 607751 818656 950520],10, 3450065 3450026,2018-01-01,35-49,0.0,10,35-49
66,[318790 409523 425612 487743 503274 610863 910476 950520 951827 984253],10, 3450065 3461039,2018-01-01,35-49,0.0,10,35-49
67,"[ 113342  734723  744267  754005  903648  911868  966500 1005281 1033207
 1036452 1037072]",11, 194433 13600075,2018-01-01,35-49,0.0,11,35-49
68,"[ 431041  451964  613110  734723  735424  744267  754005  849937  903648
  911868  930497  966500 1005281 1036452 1037072]",15, 194433 6026,2018-01-01,35-49,0.0,15,35-49
69,[320603 393365 457079 490753 503274 542938 600388 798985 883509 998175],10, 3461019 2850269,2018-01-01,35-49,0.0,10,35-49
70,"[329319 375609 393365 457079 490753 537851 570918 608909 622027 666982
 899715]",11, 3461019 18064205,2018-01-01,35-49,0.0,11,35-49
71,"[302992 350191 378475 554189 794050 838643 844090 877319 905358 959838
 968324 984997]",12, 7587895 7892095,2018-01-01,35-49,0.0,12,35-49
72,"[ 160197  185380  205077  348259  355733  370234  374988  398714  491453
  539702  542075  566113  740226  838643  845827  876268 1000989 1049239]",18, 7587895 7445935,2018-01-01,35-49,0.0,18,35-49
73,"[ 143642  378368  583711  591704  689599  909954  925155  926295  946895
 1061194]",10, 5461028 5450128,2018-01-01,35-49,0.0,10,35-49
74,"[ 165882  395192  578134  583711  591704  597041  600984  607551  618242
  824357  899831  909954  925155  946895  960189 1061194]",16, 5461028 7445935,2018-01-01,35-49,0.0,16,35-49
75,"[ 359174  378368  588712  600984  607551  618242  742139  899831  960189
  983709 1015255]",11, 5461028 6026,2018-01-01,35-49,0.0,11,35-49
76,"[ 112044  175957  305653  322520  355733  372108  514241  756087  822606
  946895 1017070]",11, 5450034 5461018,2018-01-01,35-49,0.0,11,35-49
77,"[148510 450313 521016 523772 526399 553032 597041 609389 676084 901480
 920916]",11, 7476355 7445935,2018-01-01,35-49,0.0,11,35-49
78,"[ 318585  448146  516584  618242  738913  846428  960293  975522  993455
 1040021 1045906]",11, 3461029 6026,2018-01-01,35-49,0.0,11,35-49
79,"[ 123476  356173  453042  462524  516578  517526  518751  518760  518876
  518906  519484  526401  528196  535938  537367  540569  541867  546837
  550801  552178  554195  613109  617315  715537  718183  776820  845498
  928208  936300  942807  982345 1008295 1016010 1018051 1020601 1026911
 1043600]",37, 7445935 6026,2018-01-01,50-65,0.0,37,50-65
80,"[ 148510  355733  382630  429717  563716  596734  600984  876268  900772
  909954  993455 1022397]",12, 5430104 7445935,2018-01-01,35-49,0.0,12,35-49
81,"[128859 129468 217265 259361 273340 463243 497068 848176 849812 907997
 909954 978552]",12, 5430168 7445935,2018-01-01,35-49,0.0,12,35-49
82,"[ 374411  517526  528196  601654  603785  614720  845498  902972  936591
  957066  972010 1008295]",12, 13600075 6026 451,2018-01-01,50-65,0.0,12,50-65
83,"[ 131001  280802  315705  328854  360203  363683  363684  366465  368099
  374411  394223  399050  415473  428202  428203  453037  464392  470389
  485723  488117  489059  489061  493869  502162  515567  515581  516566
  516569  517526  518238  518302  518742  518757  518867  518890  518924
  519488  519492  520090  520654  520660  520696  520713  520720  522353
  522444  522897  526391  526401  526931  526943  526993  528196  528712
  529441  532334  532948  533014  533042  533775  535929  536334  536341
  537964  538722  540569  548027  549924  552954  554195  558236  558580
  560347  570489  572617  575082  575878  585299  592191  598661  601654
  602165  603785  605050  605178  605420  605515  613049  614720  615942
  617315  618471  618719  623133  681529  691548  692327  693643  693944
  709690  714420  716035  717823  735264  752568  752842  752861  773753
  774557  778675  788723  824852  828274  840072  840132  840190  840193
  841399  842341  842505  843377  845498  848368  897790  897940  898838
  899356  900068  900199  900223  900478  900811  902972  904522  912822
  913232  919230  922975  926026  936300  936591  943444  951163  955927
  956322  957066  959519  964210  965330  967945  970942  972010  972912
  973797  977017  982345  985944  989411 1000061 1000642 1001351 1002110
 1003476 1008295 1011065 1017582 1022691 1024185 1027056 1031723 1036373
 1043600 1044118 1045080 1046376 1047721 1053575 1055846]",178, 13600075 6026,2018-01-01,50-65,0.0,178,50-65
84,"[ 154057  194019  294969  296149  374411  390015  517526  528196  601654
  603785  614720  625329  845498  902972  936591  957066  972010 1008295
 1050863]",19, 13600075 451,2018-01-01,50-65,0.0,19,50-65
85,"[ 326883  363669  374411  517526  519503  521900  528196  532345  533022
  554196  596530  601654  603785  604891  614720  718006  718183  845498
  902972  936591  957066  972010  993855 1008295 1010502 1018051 1019373]",27, 6026 451,2018-01-01,50-65,0.0,27,50-65
86,"[ 269217  370071  392347  401839  437574  505626  557838  559735  976374
 1026558]",10, 3708049 3646779,2018-01-01,35-49,0.0,10,35-49
87,"[ 333228  380187  401839  428081  476986  578740  616100  685041  916652
  952448  976374 1055209]",12, 2066013 3646779,2018-01-01,35-49,0.0,12,35-49
88,[261204 354761 369654 433684 549666 591704 603101 722433 764063 783926],10, 7420025 583279 1073439,2018-01-01,35-49,0.0,10,35-49
89,"[ 139787  261204  354761  369654  433684  463053  549666  591704  603101
  722433  764063  783926 1006069]",13, 7420025 1073439,2018-01-01,35-49,0.0,13,35-49
90,[254445 433684 472200 517368 538455 623466 752128 985588 986016 995513],10, 7461024 583279,2018-01-01,35-49,0.0,10,35-49
91,"[ 192925  409683  448392  457399  457781  476986  484270  529952  530386
  563278  589940  595349  702035  717887  997352 1046812]",16, 2072140 3610017,2018-01-01,35-49,0.0,16,35-49
92,"[ 112197  192853  197869  337749  359880  360832  429045  465574  474949
  526962  554483  828033  888171  978552 1022397]",15, 11461020 11421002,2018-01-01,35-49,0.0,15,35-49
93,"[261204 265643 330537 351455 492636 527002 575876 623466 722433 764063
 814730 816986 959051]",13, 7461038 1073439 583279,2018-01-01,35-49,0.0,13,35-49
94,"[ 261204  265643  330537  351455  492636  527002  575876  623466  722433
  764063  814730  816986  959051  995513 1055391]",15, 7461038 583279,2018-01-01,35-49,0.0,15,35-49
95,"[ 101475  111581  197869  345704  391482  408392  429045  465574  474949
  545944  548683  549666  675403  828033 1022397]",15, 11462027 11421002,2018-01-01,35-49,0.0,15,35-49
96,"[ 197869  265643  283251  291258  359880  429045  435198  465574  519493
  526962  725864  962500  964169 1022397]",14, 11420066 11421002,2018-01-01,35-49,0.0,14,35-49
97,[265643 347675 361687 366008 442532 561317 607999 827281 875586 959051],10, 10421004 10461015,2018-01-01,35-49,0.0,10,35-49
98,"[ 132249  181842  196619  206190  226834  350865  388009  487743  817189
  956287 1030541]",11, 4430131 4461016,2018-01-01,35-49,0.0,11,35-49
99,"[ 462035  488955  496324  625137  746014  751438  754686  848260  898989
  902895  928255  984253  987763  998644 1009963 1010510 1047441]",17, 13600037 6026,2018-01-01,35-49,0.0,17,35-49
100,[400471 411864 447103 469179 570918 573330 899831 909954 930497 946895],10, 5461003 5450079,2018-01-01,35-49,0.0,10,35-49
101,"[447103 549666 570918 613110 876268 899831 909954 930497 932468 946895
 960189]",11, 5461003 7445935,2018-01-01,35-49,0.0,11,35-49
102,"[ 275369  581867  610257  622114  626229  709021  893575  899312  952068
 1016686 1029412 1045469]",12, 7640006 13600075,2018-01-01,35-49,0.0,12,35-49
103,"[128859 192427 217265 259361 273340 302992 333676 347016 497068 523641
 573142 893165 909954 978552]",14, 5430168 5461018,2018-01-01,35-49,0.0,14,35-49
104,[128859 337867 438342 463243 626982 849812 893165 907997 909954 972552],10, 5430168 5461017,2018-01-01,35-49,0.0,10,35-49
105,"[ 152218  378368  399108  483176  545399  596480  681552  960189  995513
 1010901 1045013]",11, 3461006 3450013,2018-01-01,35-49,0.0,11,35-49
106,"[ 137391  224128  224623  321120  397358  406989  516573  585299  619665
  624733  809878  813673  834109 1018054]",14, 3461023 3450014,2018-01-01,50-65,0.0,14,50-65
107,"[200393 206735 224623 418480 560138 585299 595862 746434 809878 901429
 965472]",11, 3461023 3450059,2018-01-01,50-65,0.0,11,50-65
108,"[ 137391  150173  224623  244081  254902  375841  418480  620297  746434
  786522  787904  813673  871801  888769 1003374]",15, 3461023 3430026,2018-01-01,50-65,0.0,15,50-65
109,"[131357 211149 228413 264840 473008 517526 538928 568939 583876 865657
 908227 953567]",12, 7739995 5461017,2018-01-01,50-65,0.0,12,50-65
