,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE,DEPARTEMENT
78,[380150 418127 471775 482421 548624 563837 596875 911614 971894],9, 7445935 6033,2017-08-01,COCO_78,0.17647058823529413,9,COCO,78
79,[380150 428202 468837 471775 572619 842240 963615 971894],8, 6033 6026,2017-08-01,COCO_78,0.17647058823529413,8,COCO,78
80,"[471775 519469 574634 619437 735292 749414 752568 754685 754772 761107
 849812 908778 963615 964774 965330 971686]",16, 13600075 6026,2017-08-01,COCO_78,0.17647058823529413,16,COCO,78
81,[112044 123777 306257 322520 339517 594666 827332 872971 979705],9, 4190175 19419902,2017-08-01,COCO_59,0.17647058823529413,9,COCO,59
83,[400722 418127 471775 489055 518902 563837 715341 971894],8, 7476355 6033,2017-08-01,COCO_78,0.17647058823529413,8,COCO,78
84,[428202 489055 519887 521885 975522],5, 7587895 6026,2017-10-01,COCO_78,0.23529411764705882,5,COCO,78
85,[520693 540247 567649 619437 641614 798831],6, 7476355 7445935,2017-10-01,COCO_78,0.23529411764705882,6,COCO,78
86,[192104 222650 241017 263913 263990 357330 737446 798831],8, 5401004 7445935,2017-10-01,COCO_78,0.23529411764705882,8,COCO,78
87,[517522 519887 520693 521885 531947 963615],6, 6033 7445935,2017-10-01,COCO_78,0.23529411764705882,6,COCO,78
88,[380150 428202 489055 519887 521885 911665 963615 993844],8, 6033 6026,2017-10-01,COCO_78,0.23529411764705882,8,COCO,78
89,[156096 182028 263990 492002 540247],5, 5450090 7445935,2017-10-01,COCO_78,0.23529411764705882,5,COCO,78
90,[489055 555714 610249 622027 754685 761107 842314 964774 993844 995513],10, 6027 6026,2017-10-01,COCO_78,0.23529411764705882,10,COCO,78
91,"[ 519885  535929  548624  610249  619437  719763  735292  752568  754685
  761107  849812  902696  964774  975522  994504  995513  995957 1014685]",18, 13600075 6026,2017-10-01,COCO_78,0.23529411764705882,18,COCO,78
92,[123777 156365 195197 425954 872971],5, 4190175 19419902,2017-10-01,COCO_59,0.23529411764705882,5,COCO,59
93,[610037 734723 779524 958765 971440 979705 988692 998545],8, 13600075 6026,2017-10-01,COCO_59,0.23529411764705882,8,COCO,59
94,[610249 754685 761107 964774 995513],5, 6027 13600075 6026,2017-10-01,COCO_78,0.23529411764705882,5,COCO,78
95,[ 610037  616225  734723  971440  979705  988692  998545 1040091],8, 13600075 6026,2017-12-01,COCO_59,0.29411764705882354,8,COCO,59
96,"[ 428202  519469  548624  619437  735292  749414  752568  754685  761107
  849812  964774  965330  975522  993844 1007975 1014685 1034094 1036452
 1037072 1037646 1043402 1054006]",22, 13600075 6026,2017-12-01,COCO_78,0.29411764705882354,22,COCO,78
97,[ 754685  849812  965330 1037646 1045906],5, 6027 6026,2017-12-01,COCO_78,0.29411764705882354,5,COCO,78
98,[158639 258405 619437 687512 783477],5, 7587895 7445935,2018-02-01,COCO_78,0.35294117647058826,5,COCO,78
99,[ 518902  538735  552972  783477  911614 1001550],6, 6033 7445935,2018-02-01,COCO_78,0.35294117647058826,6,COCO,78
100,"[ 428202  471775  519469  519885  619437  735292  749414  752568  964774
 1007975 1014685 1015043 1034094 1043402 1045705 1047955 1052503 1054006]",18, 13600075 6026,2018-02-01,COCO_78,0.35294117647058826,18,COCO,78
101,[114621 263913 552972 591704 619437],5, 5401046 7445935,2018-02-01,COCO_78,0.35294117647058826,5,COCO,78
102,[110899 425954 464331 903640 957469],5, 19419902 451,2018-02-01,COCO_59,0.35294117647058826,5,COCO,59
103,[ 610037  749038  910665  913872  971440  979705  988692  998545 1058591],9, 13600075 6026,2018-02-01,COCO_59,0.35294117647058826,9,COCO,59
104,[140050 275596 490112 600388 885828 903640 957469],7, 4190175 19419902,2018-02-01,COCO_59,0.35294117647058826,7,COCO,59
105,[ 565366  578639  610249  719763  754685 1008376 1014685 1047955 1048011],9, 6027 6026,2018-04-01,COCO_78,0.4117647058823529,9,COCO,78
106,[416219 455008 471775 505859 971894],5, 5461035 5401047 6033,2018-04-01,COCO_78,0.4117647058823529,5,COCO,78
107,[113487 140911 263990 349811 430319 963615],6, 5461018 7445935,2018-04-01,COCO_78,0.4117647058823529,6,COCO,78
108,[ 610249  761107 1014685 1048011 1060608],5, 6157591 6026,2018-04-01,COCO_78,0.4117647058823529,5,COCO,78
109,[427779 471775 505859 842240 963615],5, 7719715 6033,2018-04-01,COCO_78,0.4117647058823529,5,COCO,78
110,[113487 471775 505859 842240 963615],5, 7719715 7445935,2018-04-01,COCO_78,0.4117647058823529,5,COCO,78
111,[263913 273829 364658 521931 564777 849812],6, 5401046 5401047,2018-04-01,COCO_78,0.4117647058823529,6,COCO,78
112,[263913 334634 518902 521931 531392 553832],6, 5401046 7445935,2018-04-01,COCO_78,0.4117647058823529,6,COCO,78
113,[ 519885  578639 1008376 1014685 1047955 1048011],6, 6027 13600075,2018-04-01,COCO_78,0.4117647058823529,6,COCO,78
114,[281283 416219 471775 505859 519887 916838],6, 5401047 6033 7445935,2018-04-01,COCO_78,0.4117647058823529,6,COCO,78
115,[ 578639 1008376 1014685 1047955 1048011],5, 6027 13600075 6026,2018-04-01,COCO_78,0.4117647058823529,5,COCO,78
116,"[225166 263913 281283 314234 407802 416219 471775 505859 519887 521931
 916838]",11, 5401047 7445935,2018-04-01,COCO_78,0.4117647058823529,11,COCO,78
117,[416219 471775 521931 619437 849812 971894],6, 5401047 6026,2018-04-01,COCO_78,0.4117647058823529,6,COCO,78
118,[281283 416219 455008 471775 505859 519887 563837 916838 971894],9, 5401047 6033,2018-04-01,COCO_78,0.4117647058823529,9,COCO,78
119,[416219 471775 842240 953725 963615 971686],6, 6033 7445935 6026,2018-04-01,COCO_78,0.4117647058823529,6,COCO,78
120,"[281283 416219 471775 505859 518902 519887 531392 842240 916838 953725
 963615 971686]",12, 6033 7445935,2018-04-01,COCO_78,0.4117647058823529,12,COCO,78
121,[416219 418129 471775 842240 953725 963615 971686 971894],8, 6033 6026,2018-04-01,COCO_78,0.4117647058823529,8,COCO,78
122,[416219 471775 521931 553832 842240 953725 963615 971686],8, 7445935 6026,2018-04-01,COCO_78,0.4117647058823529,8,COCO,78
123,"[ 416219  428202  468837  528700  578639  619437  752568  849812  989025
  993844 1007975 1008376 1014685 1036452 1037646 1045705 1047955 1048011
 1060608 1082751]",20, 13600075 6026,2018-04-01,COCO_78,0.4117647058823529,20,COCO,78
124,[ 123777  313650  445678  864494 1071032],5, 4190175 19419902,2018-04-01,COCO_59,0.4117647058823529,5,COCO,59
125,[ 526400  616565  734723  913872  979729  988692 1040091 1058591],8, 13600075 6026,2018-04-01,COCO_59,0.4117647058823529,8,COCO,59
126,"[ 505859  519885  536334  555714  578639  584447  754685  971894  972937
 1014685 1048011]",11, 6027 6026,2018-06-01,COCO_78,0.47058823529411764,11,COCO,78
127,[ 519885  536334  555714  578639  584447 1014685],6, 6027 13600075 6026,2018-06-01,COCO_78,0.47058823529411764,6,COCO,78
128,[ 468837  490024  505859  578639  584447  588730  911614 1001550],8, 8287519 6033,2018-06-01,COCO_78,0.47058823529411764,8,COCO,78
129,[ 505859  578639  588730  911614 1001550],5, 8287519 5401047 6033,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
130,[363690 455008 584447 949836 980801],5, 3461030 4190175,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
131,[455008 578639 584447 842314 971894],5, 3461030 6026,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
132,[455008 578639 584447 842314 949836],5, 3461030 6033,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
133,[ 584447  842314  949836  980801 1105395],5, 3461030 19419902,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
134,[ 505859  563837  578639  588730  842314  911614 1001550 1097861 1099331],9, 5401047 6033,2018-06-01,COCO_78,0.47058823529411764,9,COCO,78
136,[505859 563837 842314 911614 958732],5, 5401047 7445935,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
137,[112633 269244 283502 464787 911614 963615],6, 7770415 7445935,2018-06-01,COCO_78,0.47058823529411764,6,COCO,78
138,[103371 207287 241017 263913 348255 521883 553832 863993 958732],9, 5401046 7445935,2018-06-01,COCO_78,0.47058823529411764,9,COCO,78
139,"[ 105293  110899  114666  118478  147589  149963  167694  187833  199984
  235297  235462  251568  270220  314647  368080  403445  425954  427096
  427250  432305  451363  459933  464331  588437  602580  604098  607784
  612824  616689  739860  751640  903640  957469 1052581 1095891 1106546]",36, 12520268 451,2018-06-01,COCO_59,0.47058823529411764,36,COCO,59
140,[ 526400  567971  860435  979705  988692  998545 1152434],7, 13600075 6026,2018-06-01,COCO_59,0.47058823529411764,7,COCO,59
141,[ 199673  425954  472871  903640 1071032],5, 4190175 19419902,2018-06-01,COCO_59,0.47058823529411764,5,COCO,59
142,"[ 363692  416219  468837  471775  519885  535929  536334  555714  578639
  584447  752568  754776  957240  989025 1007975 1008376 1014685 1036452
 1037646 1047955 1082751 1097861]",22, 13600075 6026,2018-06-01,COCO_78,0.47058823529411764,22,COCO,78
143,[ 505859  578639  842314  849812 1097861],5, 5401047 6026,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
144,"[348255 469829 505859 521883 532337 542073 553832 563837 842314 911614
 963615]",11, 6033 7445935,2018-06-01,COCO_78,0.47058823529411764,11,COCO,78
145,[505859 532337 553832 842314 963615],5, 6033 7445935 6026,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
146,[ 540247  584447  847693  980801 1037646],5, 19419902 13600075,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
147,[ 117755  584447  949836  980801 1037646],5, 4190175 19419902,2018-06-01,COCO_78,0.47058823529411764,5,COCO,78
148,"[ 455008  468837  505859  532337  553832  578639  584447  842314  963615
  993844 1097861]",11, 6033 6026,2018-06-01,COCO_78,0.47058823529411764,11,COCO,78
149,[294115 399107 490024 518902 545984 824398],6, 6033 5401047 7445935,2018-08-01,COCO_78,0.5294117647058824,6,COCO,78
151,[ 455008  490024  550646  619437  911614 1048518],6, 8287519 5401047,2018-08-01,COCO_78,0.5294117647058824,6,COCO,78
153,[ 416219  754357  824398 1034094 1037646],5, 6027 6026,2018-08-01,COCO_78,0.5294117647058824,5,COCO,78
154,[ 400722  508618  519885  552972  849812  911665  963615 1181464],8, 7892095 6033,2018-08-01,COCO_78,0.5294117647058824,8,COCO,78
155,[165690 263913 400722 508618 844499],5, 7892095 5401047,2018-08-01,COCO_78,0.5294117647058824,5,COCO,78
157,[ 614220  893157  993844 1082751 1172145],5, 19419902 4190175,2018-08-01,COCO_78,0.5294117647058824,5,COCO,78
