,user_ids,support,itemsets,period,property_values,depth,size,a,itemset_name
29,"[107216, 120248, 132519, 134163, 145478, 154386, 157246, 164231, 164308, 168285, 176750, 179416, 181642, 188588, 189283, 192635, 197752, 205800, 209276, 218431, 219353, 221900, 226924, 226985, 231629, 231893, 246348, 252704, 259132, 262442, 273229, 273864, 274953, 280880, 285090, 286161, 336247, 338288, 350354, 364137, 376277, 378965, 386709, 389609, 432898, 437974, 438114, 465308, 482512, 482580, 508797, 520056, 522268, 530327, 533708, 556943, 560864, 625091, 626547, 642259, 711978, 721306, 805158, 843577, 863705, 871913, 874591, 876693, 911318, 912398, 949491, 965178, 997163, 1030140, 1031383, 1033300, 1038786, 1055191, 1064103, 1107311, 1178337, 1196711, 1242175]",83,4112,2019-03-01,1,0.6875,83,1,['LAVAGE CLU']
30,"[116517, 146032, 149886, 176750, 177693, 191681, 215374, 226924, 226985, 266994, 273864, 278491, 288714, 317586, 336830, 343202, 436127, 465004, 516389, 538133, 556943, 580829, 625091, 642259, 645406, 832235, 843577, 923982, 1216244]",29,4125,2019-03-01,1,0.6875,29,1,['RECHARGE LAVAGE TW - A']
31,"[107727, 118606, 134914, 164308, 188588, 189769, 197752, 231893, 257373, 262442, 274953, 312415, 332635, 338288, 355661, 404670, 417444, 460243, 476566, 478530, 482512, 508797, 530327, 532504, 560864, 642259, 645406, 717621, 937658, 959463, 1021208, 1059459]",32,4126,2019-03-01,1,0.6875,32,1,['RECHARGE LAVAGE']
32,"[115334, 131516, 164231, 195808, 215849, 223786, 259132, 268558, 273229, 273864, 430868, 524668, 530327, 535838, 538133, 580829, 721306, 805158, 1030140, 1107311, 1163901, 1176921, 1196711, 1242175]",24,1538,2019-03-01,1,0.6875,24,1,['RECHARGE CAFÉ CLUB 2\x80']
33,"[149886, 150269, 176750, 178285, 223109, 225614, 226924, 236344, 272472, 273864, 278491, 303696, 317586, 343202, 432898, 465004, 474879, 538133, 556943, 618337, 623370, 625091, 626547, 631244, 843577, 923982, 1031383]",27,4125,2019-05-01,1,0.75,27,1,['RECHARGE LAVAGE TW - A']
34,"[108228, 133917, 138663, 145478, 157246, 157503, 188588, 189769, 195808, 252547, 287754, 337358, 347322, 390199, 393439, 428273, 478530, 520056, 545910, 717621, 876768, 937249, 1005767, 1028559, 1163901, 1177294]",26,4126,2019-05-01,1,0.75,26,1,['RECHARGE LAVAGE']
35,"[115334, 119521, 120286, 126277, 127802, 130184, 133917, 137685, 138663, 147391, 152857, 157246, 176750, 180230, 188588, 189906, 192709, 193191, 203511, 209276, 223109, 252547, 259132, 261752, 273864, 274953, 280880, 285090, 309886, 343202, 345624, 403177, 476566, 483211, 520056, 545910, 625091, 711978, 721306, 750974, 820248, 912398, 923982, 997163, 1029987, 1048334, 1062335, 1107311, 1168652, 1177294, 1199522]",51,4112,2019-05-01,1,0.75,51,1,['LAVAGE CLU']
36,"[105193, 108228, 120248, 140566, 145478, 176750, 177693, 189769, 193191, 214066, 215849, 219870, 222204, 223786, 226924, 239451, 251114, 270966, 285090, 286161, 301967, 307158, 332665, 376277, 380236, 389609, 393439, 402831, 411159, 416890, 432898, 452975, 454815, 482580, 498303, 499127, 500865, 532933, 537723, 560048, 565442, 574109, 578902, 580829, 645215, 717621, 749466, 814129, 835017, 843580, 873360, 886537, 894316, 949491, 952256, 957568, 1003223, 1031383, 1039029, 1059452, 1062318, 1066967, 1164511, 1168652, 1177294]",65,4156,2019-07-01,1,0.8125,65,1,[]
37,"[105193, 140566, 147391, 173174, 179416, 188588, 189906, 197752, 200898, 206416, 209276, 211671, 212029, 221900, 222204, 237303, 251350, 259132, 271489, 274953, 280880, 285090, 307158, 309886, 317586, 332635, 345624, 378965, 390199, 391758, 427150, 437974, 438114, 452425, 457599, 465567, 498626, 530327, 532933, 575523, 585456, 645215, 711978, 835363, 844897, 846796, 871913, 874653, 949491, 1029987, 1030140]",51,4112,2019-07-01,1,0.8125,51,1,['LAVAGE CLU']
38,"[116517, 146032, 149886, 176750, 177693, 194904, 214066, 226924, 226985, 273864, 274953, 278491, 285365, 288714, 303696, 317586, 347942, 423611, 432898, 436127, 465004, 530327, 538133, 585456, 592345, 923982, 1031383, 1216244]",28,4125,2019-07-01,1,0.8125,28,1,['RECHARGE LAVAGE TW - A']
39,"[120286, 149886, 164308, 173174, 180230, 185342, 192034, 250176, 257373, 257484, 271489, 274953, 301967, 336247, 345624, 347942, 355661, 390199, 437424, 440514, 460243, 499734, 519327, 535838, 557131, 618337, 625091, 626547, 642259, 771232, 805158, 820248, 867805, 923982, 1029987, 1196711, 1215832]",37,2051,2019-07-01,1,0.8125,37,1,[]
40,"[119521, 133917, 145257, 154386, 182475, 188588, 189906, 197752, 200898, 212029, 215374, 237303, 273864, 285365, 305447, 309886, 338288, 355812, 366458, 378965, 384542, 457599, 530327, 758846, 810467, 921601, 1005729, 1005767, 1030140, 1048334, 1064103, 1163901, 1177294, 1236038, 1242175]",35,4158,2019-07-01,1,0.8125,35,1,[]
41,"[115022, 133917, 145478, 164308, 180230, 188588, 189769, 212029, 244544, 251114, 251350, 262442, 274871, 274953, 285365, 321135, 332635, 338288, 355661, 390199, 391758, 397621, 403177, 410571, 498303, 520056, 642259, 937249, 1177294]",29,4126,2019-07-01,1,0.8125,29,1,['RECHARGE LAVAGE']
42,"[106174, 114932, 115022, 132519, 140387, 146032, 147391, 206416, 221900, 259132, 262442, 386629, 387857, 397621, 423611, 423878, 443706, 520056, 524668, 624145, 843577, 844897, 874591, 997163, 1177294]",25,4155,2019-07-01,1,0.8125,25,1,[]
43,"[116517, 146032, 149886, 176750, 199835, 215374, 226924, 273864, 288714, 289781, 303696, 317586, 335036, 347942, 423611, 474879, 511074, 538133, 626547, 730825, 923982]",21,4125,2019-09-01,1,0.875,21,1,['RECHARGE LAVAGE TW - A']
44,"[119521, 131511, 131516, 199021, 251114, 274953, 336873, 393439, 406056, 423611, 432898, 482512, 505454, 543612, 625091, 711978, 844897, 876768, 949491, 1033518, 1107311]",21,4112,2019-09-01,1,0.875,21,1,['LAVAGE CLU']
45,"[116517, 146032, 149886, 150269, 176750, 215374, 223109, 226924, 227628, 236344, 278491, 288714, 289974, 317586, 335036, 530327, 538133, 545953, 626547, 923982, 1216244]",21,4125,2019-11-01,1,0.9375,21,1,['RECHARGE LAVAGE TW - A']
46,"[105126, 118606, 132519, 133917, 134914, 145478, 186625, 188588, 189769, 257373, 262442, 274953, 303696, 337358, 381297, 478530, 498303, 876693, 960839, 1059459, 1177294]",21,4126,2019-11-01,1,0.9375,21,1,['RECHARGE LAVAGE']
