,user_ids,support,itemsets,period,property_values,depth,size,DEPARTEMENT
67,"[279525 286391 489055 555714 565366 584447 610249 622027 754685 964970
 971894]",11, 3450013 6033,2017-05-01,78,0.09090909090909091,11,78
68,"[286391 489055 555714 565366 584447 610249 622027 754685 849812 908778
 964970]",11, 3450013 6026,2017-05-01,78,0.09090909090909091,11,78
69,[349380 399087 545984 578639 715341],5, 7476355 7445935 6033 6026,2017-05-01,78,0.09090909090909091,5,78
70,[349380 399087 542073 545984 578639 715341 916838 971894],8, 7476355 7445935 6033,2017-05-01,78,0.09090909090909091,8,78
71,[286391 584447 622027 754685 849812 908778],6, 3450013 13600075 6026,2017-05-01,78,0.09090909090909091,6,78
72,[294115 349380 399087 489055 505859 545984 553832 578639 715341 754685],10, 7476355 6033 6026,2017-05-01,78,0.09090909090909091,10,78
73,[400722 428202 489055 518902 715341],5, 7892095 7476355 6033,2017-08-01,78,0.18181818181818182,5,78
74,[428202 468837 471775 489055 521885 572619 971894 993844],8, 5461012 6033 6026,2017-08-01,78,0.18181818181818182,8,78
75,[400722 428202 468837 471775 489055 518902 521885 572619 971894 993844],10, 5461012 6033,2017-08-01,78,0.18181818181818182,10,78
76,[380150 482421 489055 548624 563837],5, 5401004 6033,2017-08-01,78,0.18181818181818182,5,78
77,[400722 428202 489055 518902 715341 842240 963615],7, 7892095 6033,2017-08-01,78,0.18181818181818182,7,78
78,[387480 489055 563837 798831 975522 984430],6, 5401004 7476355,2017-08-01,78,0.18181818181818182,6,78
79,[400722 428202 471775 489055 516496 518902 971894],7, 5461012 7476355,2017-08-01,78,0.18181818181818182,7,78
80,[397403 400722 428202 489055 516496 518902 606922 715341],8, 7892095 7476355,2017-08-01,78,0.18181818181818182,8,78
81,[400722 428202 471775 489055 518902 971894],6, 5461012 7476355 6033,2017-08-01,78,0.18181818181818182,6,78
82,[508618 565366 761107 849812 957240],5, 3430026 3450013 6026,2017-08-01,78,0.18181818181818182,5,78
83,[ 267366  517749  565366  971894 1001029],5, 3461016 3450013,2017-08-01,78,0.18181818181818182,5,78
84,[508618 565366 622027 761107 849812 957240],6, 3430026 6026,2017-08-01,78,0.18181818181818182,6,78
85,[508618 555714 565366 622027 761107 957240],6, 3430026 6027,2017-08-01,78,0.18181818181818182,6,78
86,[508618 565366 622027 761107 957240],5, 3430026 6027 6026,2017-08-01,78,0.18181818181818182,5,78
87,[182028 476509 508618 555714 565366 761107 849812 957240],8, 3430026 3450013,2017-08-01,78,0.18181818181818182,8,78
88,[508618 555714 565366 761107 957240],5, 3430026 3450013 6027,2017-08-01,78,0.18181818181818182,5,78
89,[156096 313130 521885 621499 911614 963615],6, 7770415 7445935,2017-08-01,78,0.18181818181818182,6,78
90,[111738 241017 263913 357330 380150 482421 548624 563837 798831],9, 5401004 7445935,2017-08-01,78,0.18181818181818182,9,78
91,[400722 428202 489055 516496 518902],5, 5461012 7892095 7476355,2017-08-01,78,0.18181818181818182,5,78
92,[380150 489055 548624 761107 975522],5, 5401004 6026,2017-08-01,78,0.18181818181818182,5,78
93,[619437 754685 761107 908778 964774 965330],6, 6027 13600075 6026,2017-08-01,78,0.18181818181818182,6,78
94,[400722 418127 428202 471775 489055 518902 520693 563837 715341 971894],10, 7476355 6033,2017-08-01,78,0.18181818181818182,10,78
96,"[112044 123777 156365 195197 306257 322520 339517 425954 594666 827332
 872971 979705]",12, 4190175 19419902,2017-08-01,59,0.18181818181818182,12,59
