ARTICLE_ID,DESCRIPTION,adoption_counts,loyalty1_counts,loyalty2_counts,loyalty,promo_exclusive_products,replacement
3663111045604,ALLUME CIGARE U,0,0,0,0,0,0
3760027830031,ALLUME FEU,0,0,0,0,0,0
3581110000052,ALLUME FEU  20L,0,0,0,0,0,0
3222473018918,ALLUME FEU 16 CUBES CO,0,0,0,0,0,0
3222472779698,ALLUME FEU 24 C,0,0,0,0,0,0
3277360000279,ALLUME FEU 32 CUBES FEUDOR,0,0,0,0,0,0
3472380201280,ALLUME FEU 40L CFD,0,0,0,0,0,0
3545771720001,ALLUME FEU CUBES X32,0,0,0,0,0,0
3222472779704,ALLUME FEU GEL 1L CO,0,0,0,0,0,0
3545771122003,ALLUME FEU SAC PLASTIQUE 2KG,0,0,0,0,0,0
834554004180,ALLUME FEU X 64 CUBES,0,0,0,0,0,0
834554002438,ALLUME FEUX,0,0,0,0,0,0
3760061212428,ALLUME FEUX 72,0,0,0,0,0,0
3661075048846,ALLUME FEUX FLEX,0,0,0,0,0,0
3522430000049,ALLUME FEUX SAC DE 20 LITRES BBS,0,0,0,0,0,0
834554004319,ALLUME FEUX ZIP,0,0,0,0,0,0
3661075054229,ALLUME TOUT PRO,0,0,0,0,0,0
834554004524,ALLUMEFEU X 48 CUBES,0,0,0,0,0,0
3298960800656,ALLUMETTE CUISINE PRATIC 240X3,0,0,0,0,0,0
8858947405301,ALOE LITCHI 350ML,0,0,0,0,0,0
8858947405202,ALOE NATURE,0,0,0,0,0,0
8858947400504,ALOE THE VERT,0,0,0,0,0,0
3222472260394,"ALS, RIESLING CS 37,5CL",0,0,0,0,0,0
3222472620259,ALS.PINOT BLANC CS 75CL,0,0,0,0,0,0
9782067208971,ALSACE LORRAINE 2016 IND,0,0,0,0,0,0
3222473055319,ALUMINIUM 20M C,0,0,0,0,0,0
3222472658061,AM CHOCO NOIR DEG.100G C,0,0,0,0,0,0
3222471159972,AM DISQUE DOUCEUR CO X70,0,0,0,0,0,0
3222471024928,AM ESSUIE TT CO DECO 3RL,0,0,0,0,0,0
3222472707981,AM GALETTE RIZ 115G CBIO,0,0,0,0,0,0
3222473419081,AM MOUTARDE ATL,0,0,0,0,0,0
3124480183491,AM ORANGINA PET 150CL,0,0,0,0,0,0
4047024408562,AM22U BOSCH,0,0,0,0,0,0
5400219530704,AMANDE ENROBEES 125G CAFE TASSE,0,0,0,0,0,0
3222472114048,AMANDE FUMEE CO,0,0,0,0,0,0
3760090191220,AMANDES PRALINEES 280G POT,0,0,0,0,0,0
3770000028461,AMANDES SUCREES CARAM 150G LOR N,0,0,0,0,0,0
